rank,community_a,size_a,community_b,size_b,cross_edges
87,Brazilian Prison Gangs and Drug Trafficking Networks,54,Tren de Aragua and Its Network,12,7
88,San Luca 'Ndrangheta Clans,17,Italian Mafia Network and Offshoots,50,6
89,Platì 'Ndrangheta Clans Network,16,Oppido Mamertina 'Ndrangheta Feud,13,6
90,Vibo Valentia 'Ndrangheta Clans,26,Italian Mafia Network and Offshoots,50,6
91,Vibo Valentia 'Ndrangheta Clans,26,Colombian Paramilitary and Drug Trafficking Networks,45,6
92,Los Angeles Gang Alliances and Rivalries,29,LA-Israel Crime Alliance and Rivalries,9,6
93,Turkish-Kurdish Conflict Network,35,Global Jihadist Network and Affiliates,120,6
94,Global Outlaw Biker Network,243,Sydney Gangland Feud Network,9,6
95,Japanese Yakuza Syndicate Network,68,Gosha-kai Anti-Yamaguchi Alliance,6,6
96,American Mafia Network,111,London-Jamaica Gang Network,24,6
97,Italian Mafia Network and Offshoots,50,Bari Mafia Clusters and Rivalries,9,6
98,Ecuadorian Cartel Splinter Network,17,Tren de Aragua and Its Network,12,6
99,Colombian Cartels and Paramilitaries,32,Puerto Rican Criminal Network,16,6
100,Brazilian Prison Gangs and Drug Trafficking Networks,54,Italian Mafia Network and Offshoots,50,5
101,Italian Mafia Network and Offshoots,50,Sibari Plain 'Ndrangheta Clans,13,5
102,Calabrian 'Ndrangheta Core Alliance,31,Bari Mafia Clusters and Rivalries,9,5
103,Ercolano Camorra Feuds and Alliances,9,Naples Camorra Clans and Alliances,96,5
104,American Mafia Network,111,Early New York Mafia Rivalries,5,5
105,Bloods and Crips Rivalry Network,20,Haitian-American Gang Alliances,15,5
106,Global Outlaw Biker Network,243,Serbian-Swedish Criminal Network,12,5
107,American Mafia Network,111,Brooklyn Street Gangs and Rivalries,24,5
108,Brazilian Prison Gangs and Drug Trafficking Networks,54,Colombian Paramilitary and Drug Trafficking Networks,45,5
109,Colombian Cartels and Paramilitaries,32,Canadian-Italian Mafia Networks,16,5
110,Mexican Cartel Network and Rivalries,159,Chicago Gang Alliances and Rivalries,77,5
111,Bloods and Crips Rivalry Network,20,Compton Piru and Crips Gang Rivalries,26,5
112,Irish Republican and Criminal Networks,24,Colombian Paramilitary and Drug Trafficking Networks,45,5
113,Mexican Cartel Network and Rivalries,159,Russian-Japanese Criminal Alliance,8,5
114,Platì 'Ndrangheta Clans Network,16,San Luca 'Ndrangheta Clans,17,4
115,Calabrian 'Ndrangheta Clans Network,28,Vibo Valentia 'Ndrangheta Clans,26,4
116,Second 'Ndrangheta War Factions,42,Palmi 'Ndrangheta Feud and Alliances,15,4
117,Italian Mafia Network and Offshoots,50,Cosenza 'Ndrangheta Clans and Feuds,15,4
118,Calabrian 'Ndrangheta Clans Network,28,Calabrian 'Ndrangheta Feuds and Alliances,22,4
119,Second 'Ndrangheta War Factions,42,Oppido Mamertina 'Ndrangheta Feud,13,4
120,Oppido Mamertina 'Ndrangheta Feud,13,San Luca 'Ndrangheta Clans,17,4
121,Calabrian 'Ndrangheta Core Alliance,31,Oppido Mamertina 'Ndrangheta Feud,13,4
122,Second 'Ndrangheta War Factions,42,Vibo Valentia 'Ndrangheta Clans,26,4
123,Second 'Ndrangheta War Factions,42,Calabrian 'Ndrangheta Clans Network,47,4
124,Mexican Cartel Network and Rivalries,159,Chinese and Southeast Asian Criminal Networks,40,4
125,Los Angeles Gang Alliances and Rivalries,29,Filipino and Latino Street Gangs in Los Angeles,15,4
126,Bloods and Crips Rivalry Network,20,Italian Mafia Network and Offshoots,50,4
127,Italian Mafia Network and Offshoots,50,Chicago Gang Alliances and Rivalries,77,4
128,US Prison Gangs and Affiliates,51,Ku Klux Klan and Allied Hate Groups,14,4
129,Brother Speed and Associates,4,Global Outlaw Biker Network,243,4
130,Casalesi Clan Conflicts,5,Camorra-Cosa Nostra Coalition Network,68,4
131,Chinese and Southeast Asian Criminal Networks,40,Italian Mafia Network and Offshoots,50,4
132,Chinese and Southeast Asian Criminal Networks,40,Chicago Gang Alliances and Rivalries,77,4
133,Melbourne Gangland Crime Network,7,Italian Mafia Network and Offshoots,50,4
134,Italian Mafia Network and Offshoots,50,Early New York Mafia Rivalries,5,4
135,Camorra Clan Network in Sele Plain,8,Camorra-Cosa Nostra Coalition Network,68,4
136,Italian Mafia Network and Offshoots,50,Sinesi-Francavilla and Moretti-Pellegrino-Lanza Network,10,4
137,New Zealand Gang Alliances and Rivalries,22,Outlaw Motorcycle Club Network,12,4
138,Canadian-Italian Mafia Networks,16,Quebec Biker Wars and Alliances,11,4
139,Mexican Cartel Network and Rivalries,159,Guatemala-Mexico Border Drug Rivalry,3,4
140,Irish Republican and Criminal Networks,24,Basque Separatist Network and Allies,14,4
141,New York City Street Gangs,17,Early 20th Century New York Street Gangs,12,4
142,1947 Hollister Riot Motorcycle Clubs,3,Global Outlaw Biker Network,243,4
143,Japanese Yakuza Syndicate Network,68,Russian-Japanese Criminal Alliance,8,4
144,Global Outlaw Biker Network,243,Chicago Gang Alliances and Rivalries,77,4
145,Veneto Mala del Brenta Network,7,Italian Mafia Network and Offshoots,50,4
146,Mhallami Mafia Clans in Germany,4,Global Outlaw Biker Network,243,4
147,Calabrian 'Ndrangheta Core Alliance,31,Colombian Paramilitary and Drug Trafficking Networks,45,3
148,Africo 'Ndrangheta Coalition,22,San Luca 'Ndrangheta Clans,17,3
149,Ndrangheta Clans in Calabrian Feuds,6,Calabrian 'Ndrangheta Core Alliance,31,3
150,Roman Mafia Networks,19,Cittanova 'Ndrangheta Feuds and Alliances,19,3
151,Calabrian 'Ndrangheta Clans Network,47,Crotone 'Ndrangheta Clans,8,3
152,Calabrian 'Ndrangheta Clans Network,47,San Luca 'Ndrangheta Clans,17,3
153,Oppido Mamertina 'Ndrangheta Feud,13,Italian Mafia Network and Offshoots,50,3
154,Catania Mafia and Allied Clans,33,San Luca 'Ndrangheta Clans,17,3
155,Second 'Ndrangheta War Factions,42,Cosenza 'Ndrangheta Clans and Feuds,15,3
156,Calabrian 'Ndrangheta Core Alliance,31,Naples Camorra Clans and Alliances,96,3
157,Chinese and Southeast Asian Criminal Networks,40,Southeast Asian Islamist Militant Network,14,3
158,Chinese and Southeast Asian Criminal Networks,40,Global Outlaw Biker Network,243,3
159,Chinese-American Secret Societies and Gangs,5,Chinese and Southeast Asian Criminal Networks,40,3
160,US Prison Gangs and Affiliates,51,Italian Mafia Network and Offshoots,50,3
161,Neapolitan Clan Drug Trafficking Network,7,Naples Camorra Clans and Alliances,96,3
162,US Prison Gangs and Affiliates,51,White Supremacist Terror Network,17,3
163,Mexican Cartel Network and Rivalries,159,Texas White Supremacist Prison Gangs,10,3
164,Chinese and Southeast Asian Criminal Networks,40,Hmong and Asian American Street Gangs,15,3
165,Global Outlaw Biker Network,243,Outlaw Motorcycle Club Network,18,3
166,Canadian-Italian Mafia Networks,16,Chinese and Southeast Asian Criminal Networks,40,3
167,Chinese and Southeast Asian Criminal Networks,40,Puerto Rican Criminal Network,16,3
168,US Prison Gangs and Affiliates,51,Weather Underground and Allied Radical Groups,9,3
169,Danish Biker Gangs and Rivals,5,Global Outlaw Biker Network,243,3
170,19th Century New York Street Gangs,21,New York City Street Gangs,17,3
171,Bloods and Crips Rivalry Network,20,Venice Area Gang Conflicts and Alliances,9,3
172,US Prison Gangs and Affiliates,51,Venice Area Gang Conflicts and Alliances,9,3
173,Basque Separatist Network and Allies,14,Colombian Paramilitary and Drug Trafficking Networks,45,3
174,Italian Mafia Network and Offshoots,50,Corsican Mafia Network,10,3
175,London-Jamaica Gang Network,24,Tottenham Mandem and Splinter Groups,16,3
176,Bronx Gangs and Peace Efforts,7,Global Outlaw Biker Network,243,3
177,Chinese and Southeast Asian Criminal Networks,40,New York Chinatown Gang Conflicts,9,3
178,Italian Mafia Network and Offshoots,50,Palermo Mafia Clans and Conflicts,14,3
179,Montenegrin Mafia Clusters,7,Italian Mafia Network and Offshoots,50,3
180,Axis of Resistance and Palestinian Factions,40,Turkish-Kurdish Conflict Network,35,3
181,Ecuadorian Cartel Splinter Network,17,Chicago Gang Alliances and Rivalries,77,3
182,Mexican Cartel Network and Rivalries,159,Axis of Resistance and Palestinian Factions,40,3
183,Los Angeles Gang Alliances and Rivalries,29,Tren de Aragua and Its Network,12,3
184,Mexican Cartel Network and Rivalries,159,Puerto Rican Criminal Network,16,3
185,Native Mob and Rival Gangs,6,Chicago Gang Alliances and Rivalries,77,3
186,US Prison Gangs and Affiliates,51,East LA Sureño Gang Conflicts,7,3
187,Compton Crips and Rivalries,8,Compton Piru and Crips Gang Rivalries,26,3
188,Haitian-American Gang Alliances,15,Chicago Gang Alliances and Rivalries,77,3
189,Global Outlaw Biker Network,243,White Supremacist Terror Network,17,3
190,London-Jamaica Gang Network,24,Brixton Gang Network and Splinter Groups,19,3
191,Rollin' Crips and Rival Bloods,7,Bloods and Crips Rivalry Network,20,3
192,Italian Mafia Network and Offshoots,50,Russian Mafia Power Struggles,8,3
193,Italian Mafia Network and Offshoots,50,Tren de Aragua and Its Network,12,3
194,Vibo Valentia 'Ndrangheta Clans,26,Lamezia Terme 'Ndrangheta Feud,11,2
195,Ndrangheta Clans in Calabrian Feuds,6,Cittanova 'Ndrangheta Feuds and Alliances,19,2
196,Vibo Valentia 'Ndrangheta Clans,26,Cittanova 'Ndrangheta Feuds and Alliances,19,2
197,Platì 'Ndrangheta Clans Network,16,Vibo Valentia 'Ndrangheta Clans,26,2
198,Ndrangheta Clans in Calabrian Feuds,6,San Luca 'Ndrangheta Clans,17,2
199,Ariola 'Ndrangheta Clans and Locale,4,Calabrian 'Ndrangheta Feuds and Alliances,22,2
200,Calabrian 'Ndrangheta Clans Network,28,San Luca 'Ndrangheta Clans,17,2
201,Canadian-Italian Mafia Networks,16,Oppido Mamertina 'Ndrangheta Feud,13,2
202,Vibo Valentia 'Ndrangheta Clans,26,Africo 'Ndrangheta Coalition,22,2
203,Africo 'Ndrangheta Coalition,22,Camorra-Cosa Nostra Coalition Network,68,2
204,Mexican Cartel Network and Rivalries,159,Calabrian 'Ndrangheta Core Alliance,31,2
205,San Luca 'Ndrangheta Clans,17,Lamezia Terme 'Ndrangheta Feud,11,2
206,Canadian-Italian Mafia Networks,16,Calabrian 'Ndrangheta Core Alliance,31,2
207,Castellammarese War Rivals,2,American Mafia Network,111,2
208,Syrian Kurdish-Arab Militia Network,9,Global Jihadist Network and Affiliates,120,2
209,Italian Mafia Network and Offshoots,50,Brooklyn Street Gangs and Rivalries,24,2
210,Italian Mafia Network and Offshoots,50,LA-Israel Crime Alliance and Rivalries,9,2
211,East LA Sureño Gang Conflicts,7,LA-Israel Crime Alliance and Rivalries,9,2
212,US Prison Gangs and Affiliates,51,Filipino and Latino Street Gangs in Los Angeles,15,2
213,Baghdad Boys and Splinter Groups,11,Afghan-Pakistani Jihadist Network,68,2
214,Buffalo Street Gang Rivalries,3,Bloods and Crips Rivalry Network,20,2
215,Sureños Gang Conflicts and Alliances,8,Compton Piru and Crips Gang Rivalries,26,2
216,Chinese and Southeast Asian Criminal Networks,40,Los Angeles Gang Alliances and Rivalries,29,2
217,Chinese and Southeast Asian Criminal Networks,40,Myanmar Ethnic Armed Groups Network,19,2
218,White Supremacist Prison Gang Network,5,Chinese and Southeast Asian Criminal Networks,40,2
219,Blue Angels MC and Affiliates,7,New Zealand Gang Alliances and Rivalries,22,2
220,Calabrian 'Ndrangheta Core Alliance,31,American Mafia Network,111,2
221,Bloods and Crips Rivalry Network,20,Watts Gang Alliances and Feuds,5,2
222,Compton Piru and Crips Gang Rivalries,26,Watts Gang Alliances and Feuds,5,2
223,British Columbia Gang Conflict Network,38,Colombian Paramilitary and Drug Trafficking Networks,45,2
224,Colombian Cartels and Paramilitaries,32,Italian Mafia Network and Offshoots,50,2
225,Italian Mafia Network and Offshoots,50,Global Jihadist Network and Affiliates,120,2
226,Mexican Cartel Network and Rivalries,159,American Mafia Network,111,2
227,Sicilian Mafia Factions in Conflict,5,Catania Mafia and Allied Clans,33,2
228,Camorra-Cosa Nostra Coalition Network,68,Ercolano Camorra Feuds and Alliances,9,2
229,Italian Mafia Clan Succession,2,Italian Mafia Network and Offshoots,50,2
230,Roman Mafia Networks,19,Naples Camorra Clans and Alliances,96,2
231,Ecuadorian Cartel Splinter Network,17,Colombian Paramilitary and Drug Trafficking Networks,45,2
232,Neapolitan Clan Drug Trafficking Network,7,Camorra-Cosa Nostra Coalition Network,68,2
233,Neapolitan Clan Drug Trafficking Network,7,Italian Mafia Network and Offshoots,50,2
234,Brazilian Prison Gangs and Drug Trafficking Networks,54,Sureños Gang Conflicts and Alliances,8,2
235,Calabrian 'Ndrangheta Clans Network,28,British Columbia Gang Conflict Network,38,2
236,Mexican Cartel Network and Rivalries,159,Brazilian Prison Gangs and Drug Trafficking Networks,54,2
237,Early New York Mafia Rivalries,4,American Mafia Network,111,2
238,Global Outlaw Biker Network,243,Filipino and Latino Street Gangs in Los Angeles,15,2
239,US Prison Gangs and Affiliates,51,El Monte Flores and Rivals,5,2
240,Los Angeles Gang Alliances and Rivalries,29,Watts Gang Alliances and Feuds,5,2
241,Belize City Gang Rivalries,6,Bloods and Crips Rivalry Network,20,2
242,Bronx Gangs and Peace Efforts,7,Chicago Gang Alliances and Rivalries,77,2
243,Axis of Resistance and Palestinian Factions,40,Sudanese-Russian Paramilitary Network,26,2
244,Colombian Cartels and Paramilitaries,32,Global Outlaw Biker Network,243,2
245,Axis of Resistance and Palestinian Factions,40,Irish Republican and Criminal Networks,24,2
246,Axis of Resistance and Palestinian Factions,40,Colombian Paramilitary and Drug Trafficking Networks,45,2
247,US Prison Gangs and Affiliates,51,British Columbia Gang Conflict Network,38,2
248,Canadian-Italian Mafia Networks,16,Indigenous Canadian Street Gangs,17,2
249,Irish Republican and Criminal Networks,24,Italian Mafia Network and Offshoots,50,2
250,Global Outlaw Biker Network,243,Irish Republican and Criminal Networks,24,2
251,Mexican Cartel Network and Rivalries,159,Irish Republican and Criminal Networks,24,2
252,Japanese Yakuza Syndicate Network,68,Okinawan Yakuza Splinter Groups,4,2
253,Mexican Cartel Network and Rivalries,159,Hmong and Asian American Street Gangs,15,2
254,Stefanaconi Feud 'Ndrangheta Cluster,5,Calabrian 'Ndrangheta Clans Network,28,2
255,Colombian Cartels and Paramilitaries,32,Galician Drug Trafficking Rivalries,3,2
256,Brooklyn Street Gangs and Rivalries,24,Chicago Gang Alliances and Rivalries,77,2
257,Sicilian Mafia Clans in Trapani,5,Camorra-Cosa Nostra Coalition Network,68,2
258,Nuova Camorra Speciale and Allies,3,Camorra-Cosa Nostra Coalition Network,68,2
259,Global Outlaw Biker Network,243,Transnational Neo-Nazi Terror Network,34,2
260,Brazilian Prison Gangs and Drug Trafficking Networks,54,Axis of Resistance and Palestinian Factions,40,2
261,Shining Path and Its Factions,11,Colombian Paramilitary and Drug Trafficking Networks,45,2
262,US Prison Gangs and Affiliates,51,White Supremacist Prison Gang Network,5,2
263,Pacific Islander Crip Network,10,Bloods and Crips Rivalry Network,20,2
264,Dutch-Moroccan Drug Trafficking Networks,8,Colombian Paramilitary and Drug Trafficking Networks,45,2
265,Russian-Japanese Criminal Alliance,8,Russian Mafia Power Struggles,8,2
266,Italian Mafia Network and Offshoots,50,London Gangland Rivalries and Alliances,8,2
267,Pacific Islander Crip Network,10,Los Angeles Gang Alliances and Rivalries,29,2
268,LA-Israel Crime Alliance and Rivalries,9,Westside Locos and Affiliates,15,2
269,Tren de Aragua and Its Network,12,Chicago Gang Alliances and Rivalries,77,2
270,Irish Republican and Criminal Networks,24,Boston Irish Mob Wars and Consolidation,9,2
271,Los Angeles Gang Alliances and Rivalries,29,Puerto Rican Criminal Network,16,2
272,Italian Mafia Network and Offshoots,50,Haitian-American Gang Alliances,15,1
273,Calabrian 'Ndrangheta Clans Network,47,Sibari Plain 'Ndrangheta Clans,13,1
274,Seminara 'Ndrangheta Clans,11,Calabrian 'Ndrangheta Core Alliance,31,1
275,Calabrian 'Ndrangheta Core Alliance,31,San Luca 'Ndrangheta Clans,17,1
276,Calabrian 'Ndrangheta Core Alliance,31,Sinopoli Feud Allies,3,1
277,Ndrangheta Clans in Calabrian Feuds,6,Second 'Ndrangheta War Factions,42,1
278,Ndrangheta Clans in Calabrian Feuds,6,Italian Mafia Network and Offshoots,50,1
279,Second 'Ndrangheta War Factions,42,Roman Mafia Networks,19,1
280,Second 'Ndrangheta War Factions,42,Sinesi-Francavilla and Moretti-Pellegrino-Lanza Network,10,1
281,Second 'Ndrangheta War Factions,42,Africo 'Ndrangheta Coalition,22,1
282,Ciminà Feud Coalition,7,Vibo Valentia 'Ndrangheta Clans,26,1
283,Ciminà Feud Coalition,7,Camorra-Cosa Nostra Coalition Network,68,1
284,Calabrian 'Ndrangheta Core Alliance,31,Calabrian 'Ndrangheta Feuds and Alliances,22,1
285,Calabrian 'Ndrangheta Clans Network,47,Calabrian 'Ndrangheta Feuds and Alliances,22,1
286,Calabrian 'Ndrangheta Core Alliance,31,Palmi 'Ndrangheta Feud and Alliances,15,1
287,Gentile-Besaldo 'Ndrangheta Clan,2,Italian Mafia Network and Offshoots,50,1
288,Seminara 'Ndrangheta Clans,11,San Luca 'Ndrangheta Clans,17,1
289,Calabrian 'Ndrangheta Clans Network,47,Cosenza 'Ndrangheta Clans and Feuds,15,1
290,Calabrian 'Ndrangheta Clans Network,47,Palermo Mafia Clans and Conflicts,14,1
291,Italian Mafia Network and Offshoots,50,Lamezia Terme 'Ndrangheta Feud,11,1
292,Italian Mafia Network and Offshoots,50,Crotone 'Ndrangheta Clans,8,1
293,San Luca 'Ndrangheta Clans,17,Cittanova 'Ndrangheta Feuds and Alliances,19,1
294,Calabrian 'Ndrangheta Clans Network,28,Cittanova 'Ndrangheta Feuds and Alliances,19,1
295,Ciminà Feud Coalition,7,Calabrian 'Ndrangheta Clans Network,28,1
296,Calabrian 'Ndrangheta Clans Network,47,Africo 'Ndrangheta Coalition,22,1
297,Calabrian 'Ndrangheta Clans Network,28,Oppido Mamertina 'Ndrangheta Feud,13,1
298,Vibo Valentia 'Ndrangheta Clans,26,Oppido Mamertina 'Ndrangheta Feud,13,1
299,Africo 'Ndrangheta Coalition,22,Palmi 'Ndrangheta Feud and Alliances,15,1
300,Platì 'Ndrangheta Clans Network,16,Africo 'Ndrangheta Coalition,22,1
301,Africo 'Ndrangheta Coalition,22,Calabrian 'Ndrangheta Feuds and Alliances,22,1
302,Roman Mafia Networks,19,Africo 'Ndrangheta Coalition,22,1
303,Calabrian 'Ndrangheta Allied Families,3,Africo 'Ndrangheta Coalition,22,1
304,Canadian-Italian Mafia Networks,16,Platì 'Ndrangheta Clans Network,16,1
305,Calabrian 'Ndrangheta Core Alliance,31,Cosenza 'Ndrangheta Clans and Feuds,15,1
306,Calabrian 'Ndrangheta Allied Families,3,Italian Mafia Network and Offshoots,50,1
307,Roman Mafia Networks,19,San Luca 'Ndrangheta Clans,17,1
308,Second 'Ndrangheta War Factions,42,Platì 'Ndrangheta Clans Network,16,1
309,San Luca 'Ndrangheta Clans,17,Cosenza 'Ndrangheta Clans and Feuds,15,1
310,Canadian-Italian Mafia Networks,16,San Luca 'Ndrangheta Clans,17,1
311,Ciminà Feud Coalition,7,Second 'Ndrangheta War Factions,42,1
312,Chinese and Southeast Asian Criminal Networks,40,New Zealand Gang Alliances and Rivalries,22,1
313,Colombian Cartels and Paramilitaries,32,Shining Path and Its Factions,11,1
314,Buffalo Street Gang Rivalry,2,Chicago Gang Alliances and Rivalries,77,1
315,Philippine IS-affiliated Militant Groups,4,Southeast Asian Islamist Militant Network,14,1
316,Singapore-Malaysia Gang Conflicts,5,Chinese and Southeast Asian Criminal Networks,40,1
317,Los Angeles Gang Alliances and Rivalries,29,American Mafia Network,111,1
318,Compton Piru and Crips Gang Rivalries,26,Chicago Gang Alliances and Rivalries,77,1
319,Venice Area Gang Conflicts and Alliances,9,Chicago Gang Alliances and Rivalries,77,1
320,Sydney Assyrian Gang Conflicts,3,Chicago Gang Alliances and Rivalries,77,1
321,White Supremacist Network,3,Transnational Neo-Nazi Terror Network,34,1
322,Italian Mafia Network and Offshoots,50,Russian-Japanese Criminal Alliance,8,1
323,Calabrian 'Ndrangheta Clans Network,28,Colombian Paramilitary and Drug Trafficking Networks,45,1
324,LA-Israel Crime Alliance and Rivalries,9,Colombian Paramilitary and Drug Trafficking Networks,45,1
325,White Supremacist Terror Network,17,Global Jihadist Network and Affiliates,120,1
326,ITS Eco-Extremist Network,6,Transnational Neo-Nazi Terror Network,34,1
327,Mexican Cartel Network and Rivalries,159,Filipino and Latino Street Gangs in Los Angeles,15,1
