rank,community_a,size_a,community_b,size_b,cross_edges
61,Mexican Mafia-Led Sureño Alliance,19,Canadian Biker-Mafia Drug Network,69,5
62,Colombian-Mexican Drug Trafficking Alliance,27,Puerto Rican Criminal Alliance,4,5
63,PCC-Led Brazilian Crime Coalition,27,Ecuadorian-Venezuelan Criminal Alliance,16,5
64,Mexican Cartel Alliance Network,82,Transnational Asian-Russian Crime Syndicates,8,5
65,Calabrian 'Ndrangheta Clans Network,44,Colombian Drug Trafficking and Paramilitary Network,24,4
66,Ndrangheta Clans in Reggio Calabria,30,Platì 'Ndrangheta Clans Alliance,16,4
67,Vibo Valentia 'Ndrangheta Alliance Network,9,Calabrian 'Ndrangheta Clans Network,44,4
68,Ndrangheta Clans in Reggio Calabria,30,Ndrangheta Drug Trafficking Network,5,4
69,Condello-Imerti-Serraino Alliance Network,19,Calabrian 'Ndrangheta Clans Network,44,4
70,Oppido Mamertina 'Ndrangheta Alliance,6,Calabrian 'Ndrangheta Clans Network,44,4
71,Mexican Mafia-Led Sureño Alliance,19,Los Angeles Sureño Street Gangs,10,4
72,Southeast Asian Islamist Militant Network,10,Global Jihadist Network Alliance,75,4
73,US Prison and Street Gang Alliances,32,Chicago People Nation Gang Alliance,7,4
74,Mexican Mafia-Led Sureño Alliance,19,Italian Mafia and Allied Networks,47,4
75,Italian Mafia and Allied Networks,47,Outlaw Biker Gangs Alliance Network,40,4
76,Outlaw Motorcycle Club Network,7,Outlaw Biker Gangs Alliance Network,40,4
77,Mexican Cartel Alliance Network,82,Outlaw Biker Gangs Alliance Network,40,4
78,Italian Mafia and Allied Networks,47,Camorra Clans in Campania,11,4
79,Naples Camorra Alliance Network,21,Camorra Clans in Campania,11,4
80,Italian Mafia and Allied Networks,47,Apulian Mafia Offshoots and Allies,4,4
81,Platì 'Ndrangheta Clans Alliance,16,Italian Mafia and Allied Networks,47,3
82,Ndrangheta Clans in Reggio Calabria,30,Calabrian 'Ndrangheta Allied Clans,4,3
83,Mancuso-led 'Ndrangheta Clan Network,13,Vibo Valentia 'Ndrangheta Alliance Network,9,3
84,Calabrian 'Ndrangheta Clans Alliance,32,Calabrian 'Ndrangheta Alliances in Milan,7,3
85,Ndrangheta Clans in Reggio Calabria,30,Africo 'Ndrangheta Clans Coalition,20,3
86,Ndrangheta Clans in Reggio Calabria,30,Calabrian 'Ndrangheta Alliances in Milan,7,3
87,Condello-Imerti-Serraino Alliance Network,19,Ndrangheta Clans in Calabrian Feuds,6,3
88,Platì 'Ndrangheta Clans Alliance,16,Calabrian 'Ndrangheta Alliances in Milan,7,3
89,Chinese-American and Asian Gangs Alliance,21,Southeast Asian Islamist Militant Network,10,3
90,US Prison and Street Gang Alliances,32,Los Angeles Sureño Street Gangs,10,3
91,US Prison and Street Gang Alliances,32,Chinese-American and Asian Gangs Alliance,21,3
92,US Prison and Street Gang Alliances,32,Bloods Alliance and East Coast Affiliates,7,3
93,Colombian-Mexican Drug Trafficking Alliance,27,Italian Mafia and Allied Networks,47,3
94,Italian Mafia and Allied Networks,47,Bari Mafia Alliance Network,5,3
95,Catania Mafia Alliances and Factions,18,Italian Mafia-Camorra Alliance Network,59,3
96,Camorra Alliances in Scafati,4,Italian Mafia-Camorra Alliance Network,59,3
97,Brazilian Criminal Alliance Network,9,Colombian Drug Trafficking and Paramilitary Network,24,3
98,PCC-Led Brazilian Crime Coalition,27,Mexican Cartel Alliance Network,82,3
99,Quebec Biker-Mafia Alliance Network,6,Outlaw Biker Gangs Alliance Network,40,3
100,Corsican-Parisian Criminal Alliance,3,Italian Mafia and Allied Networks,47,3
101,New Zealand Gang Alliance Network,9,Canadian Biker-Mafia Drug Network,69,3
102,Axis of Resistance Militant Network,17,Colombian Drug Trafficking and Paramilitary Network,24,3
103,Mexican Mafia-Led Sureño Alliance,19,Outlaw Biker Gangs Alliance Network,40,3
104,Mexican Cartel Alliance Network,82,Axis of Resistance Militant Network,17,3
105,Italian Mafia and Allied Networks,47,Veneto Mafia Network,5,3
106,Italian Mafia and Allied Networks,47,Russian Mafia Power Network,4,3
107,Ecuadorian-Venezuelan Criminal Alliance,16,Italian Mafia and Allied Networks,47,3
108,Ndrangheta Clan Alliance,2,Calabrian 'Ndrangheta Clans Network,44,2
109,Platì 'Ndrangheta Clans Alliance,16,Mancuso-led 'Ndrangheta Clan Network,13,2
110,Calabrian 'Ndrangheta Clans Network,44,Calabrian 'Ndrangheta Alliance Network,5,2
111,Calabrian 'Ndrangheta Clans Network,44,Facchineri-Led 'Ndrangheta Alliance,7,2
112,Calabrian 'Ndrangheta Clan Alliances,11,Calabrian 'Ndrangheta Clans Network,44,2
113,Africo 'Ndrangheta Clans Coalition,20,Mancuso-led 'Ndrangheta Clan Network,13,2
114,Mancuso-led 'Ndrangheta Clan Network,13,Calabrian 'Ndrangheta Allied Clans,4,2
115,Africo 'Ndrangheta Clans Coalition,20,Italian Mafia-Camorra Alliance Network,59,2
116,Condello-Imerti-Serraino Alliance Network,19,Italian Mafia and Allied Networks,47,2
117,Calabrian 'Ndrangheta Clans Alliance,32,Calabrian 'Ndrangheta Allied Clans,4,2
118,Ndrangheta Clans in Reggio Calabria,30,Italian Mafia-Camorra Alliance Network,59,2
119,Ndrangheta Clans in Reggio Calabria,30,Catania Mafia Alliances and Factions,18,2
120,Condello-Imerti-Serraino Alliance Network,19,Calabrian 'Ndrangheta Allied Clans,4,2
121,Secondigliano Alliance and Allied Camorra Clans,33,Mariano Clan Alliance Network,6,2
122,Italian Mafia and Allied Networks,47,Oppido Mamertina 'Ndrangheta Alliance,6,2
123,Italian Mafia and Allied Networks,47,Chinese Triad Alliance Network,3,2
124,Chinese-American and Asian Gangs Alliance,21,Chinese Triad Alliance Network,3,2
125,Mexican Cartel Alliance Network,82,Chinese Triad Alliance Network,3,2
126,Canadian Biker-Mafia Drug Network,69,Chinese Triad Alliance Network,3,2
127,US Prison and Street Gang Alliances,32,US Leftist Militant and Drug Networks,5,2
128,Sydney-based Organized Crime Alliance,11,Outlaw Biker Gangs Alliance Network,40,2
129,Canadian Biker-Mafia Drug Network,69,Colombian Drug Trafficking and Paramilitary Network,24,2
130,Italian Mafia and Allied Networks,47,Global Jihadist Network Alliance,75,2
131,Melbourne Gangland Alliance Network,4,Italian Mafia and Allied Networks,47,2
132,American Mafia Network,87,Chicago Street Gang Alliances,6,2
133,Sicilian Mafia Clan Alliances,3,Italian Mafia-Camorra Alliance Network,59,2
134,Naples Camorra Alliance Network,21,Italian Mafia and Allied Networks,47,2
135,Italian Mafia and Allied Networks,47,Italian Drug Trafficking Clans,4,2
136,PCC-Led Brazilian Crime Coalition,27,Colombian Drug Trafficking and Paramilitary Network,24,2
137,Neo-Nazi Terror Network,17,Neo-Nazi Skinhead Music Network,9,2
138,American Mafia Network,87,Albanian-Cuban Criminal Alliance,3,2
139,Italian Mafia and Allied Networks,47,Sicilian Mafia Clan Alliances,4,2
140,Italian Mafia-Camorra Alliance Network,59,Sicilian Mafia Clan Alliances,4,2
141,Axis of Resistance Militant Network,17,Russian-Sudanese Paramilitary and Cyber Alliance,11,2
142,Canadian Biker-Mafia Drug Network,69,Outlaw Motorcycle Club Alliance,5,2
143,Second-Tier Outlaw Motorcycle Clubs,2,Canadian Biker-Mafia Drug Network,69,2
144,Axis of Resistance Militant Network,17,Kinahan-Linked Irish and UK Crime Groups,4,2
145,Global Jihadist Network Alliance,75,ISIS Somali-Yemeni-Pirate Nexus,3,2
146,Italian Mafia and Allied Networks,47,Kinahan-Linked Irish and UK Crime Groups,4,2
147,Mexican Cartel Alliance Network,82,Kinahan-Linked Irish and UK Crime Groups,4,2
148,Axis of Resistance Militant Network,17,PKK-Led Revolutionary Alliance Network,22,2
149,US Prison and Street Gang Alliances,32,Outlaw Biker Gangs Alliance Network,40,2
150,US Prison and Street Gang Alliances,32,Puerto Rican Criminal Alliance,4,2
151,Albanian-Cuban Criminal Alliance,3,Italian Mafia and Allied Networks,47,2
152,Mexican Cartel Alliance Network,82,Puerto Rican Criminal Alliance,4,2
153,US Prison and Street Gang Alliances,32,Mexican Mafia-Led Sureño Alliance,19,2
154,White Supremacist Prison and Street Gangs,24,Outlaw Biker Gangs Alliance Network,40,2
155,Outlaw Motorcycle Club Alliance,5,Outlaw Biker Gangs Alliance Network,40,2
156,Neo-Nazi Skinhead Music Network,9,Outlaw Biker Gangs Alliance Network,40,2
157,Canadian Biker-Mafia Drug Network,69,Quebec Biker-Mafia Alliance Network,6,2
158,PCC-Led Brazilian Crime Coalition,27,Axis of Resistance Militant Network,17,2
159,Chinese-American and Asian Gangs Alliance,21,Italian Mafia and Allied Networks,47,2
160,Mexican Mafia-Led Sureño Alliance,19,Los Angeles Street Gang Alliance,9,2
161,White Supremacist Prison and Street Gangs,24,Mexican Cartel Alliance Network,82,2
162,Mexican Cartel Alliance Network,82,United Nations Gang and Allies,11,2
163,American Mafia Network,87,European Separatist and Leftist Alliances,10,2
164,Mancuso-led 'Ndrangheta Clan Network,13,Lamezia Terme 'Ndrangheta Alliance,6,1
165,Ndrangheta Clans in Reggio Calabria,30,Italian Mafia Funeral Business Alliance,7,1
166,Africo 'Ndrangheta Clans Coalition,20,Condello-Imerti-Serraino Alliance Network,19,1
167,Condello-Imerti-Serraino Alliance Network,19,Italian Mafia-Camorra Alliance Network,59,1
168,Italian Mafia and Allied Networks,47,Facchineri-Led 'Ndrangheta Alliance,7,1
169,Mancuso-led 'Ndrangheta Clan Network,13,Calabrian 'Ndrangheta Clan Alliances,5,1
170,Italian Mafia-Camorra Alliance Network,59,Calabrian 'Ndrangheta Clan Alliances,5,1
171,Calabrian 'Ndrangheta Clans Alliance,32,Calabrian 'Ndrangheta Clan Alliances,11,1
172,Calabrian 'Ndrangheta Clans Network,44,Gallico-Led 'Ndrangheta Alliance Network,11,1
173,Seminara 'Ndrangheta Clans Alliance,4,Ndrangheta Clans in Reggio Calabria,30,1
174,Ndrangheta Clans in Reggio Calabria,30,Apulian Mafia Offshoots and Allies,4,1
175,Calabrian 'Ndrangheta Clans Alliance,32,Ndrangheta Clans in Calabrian Feuds,6,1
176,Ndrangheta Clans in Reggio Calabria,30,Calabrian 'Ndrangheta Clans Alliance,32,1
177,Calabrian 'Ndrangheta Clans Alliance,32,Sicilian Mafia Clan Alliances,4,1
178,Condello-Imerti-Serraino Alliance Network,19,Gallico-Led 'Ndrangheta Alliance Network,11,1
179,Mancuso-led 'Ndrangheta Clan Network,13,Italian Mafia and Allied Networks,47,1
180,Calabrian 'Ndrangheta Clans Network,44,Ndrangheta Drug Trafficking Network,5,1
181,Calabrian 'Ndrangheta Clans Network,44,Calabrian 'Ndrangheta Clan Alliances,5,1
182,Mancuso-led 'Ndrangheta Clan Network,13,Oppido Mamertina 'Ndrangheta Alliance,6,1
183,Ndrangheta Clans in Reggio Calabria,30,Mancuso-led 'Ndrangheta Clan Network,13,1
184,Africo 'Ndrangheta Clans Coalition,20,Gallico-Led 'Ndrangheta Alliance Network,11,1
185,Platì 'Ndrangheta Clans Alliance,16,Africo 'Ndrangheta Clans Coalition,20,1
186,Africo 'Ndrangheta Clans Coalition,20,Calabrian 'Ndrangheta Alliance Network,5,1
187,Calabrian 'Ndrangheta Allied Families,3,Africo 'Ndrangheta Clans Coalition,20,1
188,Vibo Valentia 'Ndrangheta Alliance Network,9,Calabrian 'Ndrangheta Allied Clans,4,1
189,Ndrangheta Clans in Calabrian Feuds,4,Calabrian 'Ndrangheta Clans Network,44,1
190,Ndrangheta Clans in Calabrian Feuds,6,Calabrian 'Ndrangheta Clans Network,44,1
191,Platì 'Ndrangheta Clans Alliance,16,Condello-Imerti-Serraino Alliance Network,19,1
192,Calabrian 'Ndrangheta Clan Alliances,11,Calabrian 'Ndrangheta Alliance Network,5,1
193,Ndrangheta Drug Trafficking Network,5,Calabrian 'Ndrangheta Allied Clans,4,1
194,Oppido Mamertina 'Ndrangheta Alliance,6,Ndrangheta Drug Trafficking Network,5,1
195,Ndrangheta Clans in Calabrian Feuds,6,Ndrangheta Drug Trafficking Network,5,1
196,Canadian Biker-Mafia Drug Network,69,Ndrangheta Drug Trafficking Network,5,1
197,Lamezia Terme 'Ndrangheta Alliance,4,Ndrangheta Drug Trafficking Network,5,1
198,Calabrian 'Ndrangheta Clans Alliance,32,Vibo Valentia 'Ndrangheta Alliance Network,9,1
199,Ndrangheta Clans in Reggio Calabria,30,Calabrian 'Ndrangheta Clan Alliances,5,1
200,Crotone 'Ndrangheta Clans Alliance,4,Calabrian 'Ndrangheta Clans Alliance,32,1
201,Chinese-American and Asian Gangs Alliance,21,New Zealand Gang Alliance Network,9,1
202,Chinese-American and Asian Gangs Alliance,21,Canadian Biker-Mafia Drug Network,69,1
203,US Prison and Street Gang Alliances,32,Piru Bloods Alliance in Compton,11,1
204,Italian Mafia and Allied Networks,47,Transnational Asian-Russian Crime Syndicates,8,1
205,Mexican Mafia-Led Sureño Alliance,19,Colombian Drug Trafficking and Paramilitary Network,24,1
206,White Supremacist Prison and Street Gangs,24,Italian Mafia and Allied Networks,47,1
207,White Supremacist Prison and Street Gangs,24,Global Jihadist Network Alliance,75,1
208,US Prison and Street Gang Alliances,32,Filipino Street Gang Alliance,2,1
209,New Zealand Gang Alliance Network,9,Outlaw Biker Gangs Alliance Network,40,1
210,PCC-Led Brazilian Crime Coalition,27,Mexican Mafia-Led Sureño Alliance,19,1
211,Colombian-Mexican Drug Trafficking Alliance,27,Chinese Triad Alliance Network,3,1
212,Puerto Rican Criminal Alliance,4,Chinese Triad Alliance Network,3,1
213,Scandinavian Immigrant Street Gangs,13,Outlaw Biker Gangs Alliance Network,40,1
214,Chinatown Gang Alliance Network,3,Italian Mafia and Allied Networks,47,1
215,White Supremacist Prison and Street Gangs,24,Outlaw Motorcycle Club Network,7,1
216,Canadian Biker-Mafia Drug Network,69,Outlaw Motorcycle Club Network,7,1
217,Early Jewish-American Gang Alliance,2,Italian Mafia and Allied Networks,47,1
218,Finnish Biker Gang Alliance,2,Canadian Biker-Mafia Drug Network,69,1
219,American Mafia Network,87,Marseille Corsican Crime Network,3,1
220,Sicilian Mafia Heroin Network,2,Italian Mafia-Camorra Alliance Network,59,1
221,American Mafia Network,87,Chicago People Nation Gang Alliance,7,1
222,Camorra Clans in Campania,11,Camorra Alliances in Ercolano,4,1
223,Secondigliano Alliance and Allied Camorra Clans,33,Naples Camorra Clan Alliance,3,1
224,Catania Mafia Alliances and Factions,18,Calabrian 'Ndrangheta Clans Network,44,1
225,Catania Mafia Alliances and Factions,18,Calabrian 'Ndrangheta Alliances in Milan,7,1
226,Naples Camorra Alliance Network,21,Catania Mafia Alliances and Factions,18,1
227,American Mafia Network,87,Camorra Clans in Campania,11,1
228,Mancuso-led 'Ndrangheta Clan Network,13,Italian Mafia-Camorra Alliance Network,59,1
229,Camorra Clan Alliance in Campania,2,Italian Mafia-Camorra Alliance Network,59,1
230,Italian Mafia Clans Cooperation,2,Italian Mafia and Allied Networks,47,1
231,American Mafia Network,87,Irgun and Cohen Crime Family,2,1
232,US Prison and Street Gang Alliances,32,Outlaw Motorcycle Club Alliances,3,1
233,Canadian Biker-Mafia Drug Network,69,Italian Mafia-Camorra Alliance Network,59,1
234,Cartel Chiapas-Guatemala Alliance,2,Mexican Cartel Alliance Network,82,1
235,Mexican Cartel Alliance Network,82,Fukuoka Yakuza Alliance Network,4,1
236,Italian Mafia and Allied Networks,47,European Separatist and Leftist Alliances,10,1
237,Secondigliano Alliance and Allied Camorra Clans,33,Italian Drug Trafficking Clans,4,1
238,19th Century American Street Gangs,11,London Gangs Across Eras,13,1
239,Corsican-Parisian Criminal Alliance,3,Colombian Drug Trafficking and Paramilitary Network,24,1
240,Chinese-American and Asian Gangs Alliance,21,Chicago Folk Nation Alliance,23,1
241,Mexican Mafia-Led Sureño Alliance,19,Bronx Gang Peace Coalition,6,1
242,Manchester Gang Alliances and Drug Networks,15,London-Jamaica Gang Alliance,9,1
243,Global Jihadist Network Alliance,75,Turkish Ultranationalist Network,5,1
244,Cape Town Gang Alliances,3,Italian Mafia and Allied Networks,47,1
245,Canadian Biker-Mafia Drug Network,69,Sydney-based Organized Crime Alliance,11,1
246,American Mafia Network,87,Sicilian Mafia Clan Alliances,4,1
247,American Mafia Network,87,Sicilian Mafia Heroin Network,2,1
248,Mexican Cartel Alliance Network,82,Brazilian Criminal Alliance Network,9,1
249,Montenegrin Criminal Clans Alliance,2,Italian Mafia and Allied Networks,47,1
250,Kinahan-Linked Irish and UK Crime Groups,4,Outlaw Biker Gangs Alliance Network,40,1
251,Kinahan-Linked Irish and UK Crime Groups,4,Colombian Drug Trafficking and Paramilitary Network,24,1
252,Canadian Biker-Mafia Drug Network,69,Kinahan-Linked Irish and UK Crime Groups,4,1
253,Mexican Cartel Alliance Network,82,Chicago Folk Nation Alliance,23,1
254,Ndrangheta Clans in Reggio Calabria,30,Vibo Valentia 'Ndrangheta Alliance Network,9,1
255,Italian Mafia-Camorra Alliance Network,59,Veneto Mafia Network,5,1
256,Italian Mafia and Allied Networks,47,Puerto Rican Criminal Alliance,4,1
257,Mhallami Mafia Networks in Germany,3,Canadian Biker-Mafia Drug Network,69,1
258,Oppido Mamertina 'Ndrangheta Alliance,6,Canadian Biker-Mafia Drug Network,69,1
259,Canadian Biker-Mafia Drug Network,69,Calabrian 'Ndrangheta Clan Alliances,11,1
260,Irish Organized Crime and Dissident Republican Alliance,7,Colombian Drug Trafficking and Paramilitary Network,24,1
261,Noffel Clan Criminal Network,3,Colombian Drug Trafficking and Paramilitary Network,24,1
262,Outlaw Biker Gangs Alliance Network,40,New Zealand Outlaw Motorcycle Alliance,8,1
263,Bari Mafia Alliance Network,5,Serbian Mafia and Scandinavian Allies,7,1
264,American Mafia Network,87,PCC-Led Brazilian Crime Coalition,27,1
265,PCC-Led Brazilian Crime Coalition,27,Transnational Asian-Russian Crime Syndicates,8,1
266,Outlaw Motorcycle Club Network,7,Outlaw Motorcycle Club Alliance,5,1
267,US Prison and Street Gang Alliances,32,Canadian Biker-Mafia Drug Network,69,1
268,Sicilian Mafia Clans Cooperation,2,Italian Mafia-Camorra Alliance Network,59,1
269,Puerto Rican Independence Militant Network,3,Colombian Drug Trafficking and Paramilitary Network,24,1
270,US Prison and Street Gang Alliances,32,Haitian Gang Alliances and Violence,4,1
271,German Outlaw Motorcycle Club Alliance,2,Outlaw Biker Gangs Alliance Network,40,1
272,Transnational Asian-Russian Crime Syndicates,8,Sydney-based Organized Crime Alliance,11,1
273,Canadian Biker-Mafia Drug Network,69,Transnational Asian-Russian Crime Syndicates,8,1
274,Transnational Asian-Russian Crime Syndicates,8,Myanmar Ethnic Armed Alliance Network,8,1
275,Japanese Yakuza Syndicates and Federations,17,Transnational Asian-Russian Crime Syndicates,8,1
276,Colombian-Mexican Drug Trafficking Alliance,27,Brazilian Criminal Alliance Network,9,1
277,Sicilian Mafia Heroin Network,2,Italian Mafia and Allied Networks,47,1
278,Canadian Biker-Mafia Drug Network,69,Serbian Mafia and Scandinavian Allies,7,1
279,Mexican Cartel Alliance Network,82,Bloods Alliance and East Coast Affiliates,7,1
280,Calabrian 'Ndrangheta Clans Alliance,32,Italian Mafia and Allied Networks,47,1
281,Chicago Folk Nation Alliance,23,Chicago People Nation Gang Alliance,7,1
282,Italian Mafia and Allied Networks,47,Calabrian 'Ndrangheta Alliances in Milan,7,1
283,Canadian Biker-Mafia Drug Network,69,Russian Mafia Power Network,4,1
284,American Mafia Network,87,Russian Mafia Power Network,4,1
285,US Prison and Street Gang Alliances,32,Tongan Crip Gang Alliance Network,4,1
286,Colombian-Mexican Drug Trafficking Alliance,27,Transnational Asian-Russian Crime Syndicates,8,1
287,Chicago People Nation Gang Alliance,7,Chicago Street Gang Alliances,6,1
288,Mexican Cartel Alliance Network,82,Los Angeles Street Gang Alliance,9,1
289,Tongan Crip Gang Alliance Network,4,Los Angeles Sureño Street Gangs,10,1
290,Ecuadorian-Venezuelan Criminal Alliance,16,Colombian Drug Trafficking and Paramilitary Network,24,1
291,Ecuadorian-Venezuelan Criminal Alliance,16,Brazilian Criminal Alliance Network,9,1
292,New Zealand Gang Alliance Network,9,Outlaw Motorcycle Club Network,7,1
293,American Mafia Network,87,Bloods Alliance and East Coast Affiliates,7,1
294,Italian Mafia-Camorra Alliance Network,59,Camorra Alliances in Ercolano,4,1
295,Canadian Biker-Mafia Drug Network,69,Outlaw Motorcycle Club Network,4,1
296,White Supremacist Prison and Street Gangs,24,US Leftist Militant and Drug Networks,5,1
297,European Separatist and Leftist Alliances,10,Canadian Biker-Mafia Drug Network,69,1
298,PCC-Led Brazilian Crime Coalition,27,Japanese Yakuza Syndicates and Federations,17,1
299,Italian Mafia and Allied Networks,47,Serbian Mafia and Scandinavian Allies,7,1
300,Puerto Rican Independence Militant Network,3,Puerto Rican Criminal Alliance,4,1
