rank,organization,country,cross_edges,communities_bridged,own_community_size,communities_reached
29,Aryan Brotherhood,United States,32,11,51,Global Outlaw Biker Network (243); American Mafia Network (111); Chicago Gang Alliances and Rivalries (77); Italian Mafia Network and Offshoots (50); Chinese and Southeast Asian Criminal Networks (40); Los Angeles Gang Alliances and Rivalries (29); Bloods and Crips Rivalry Network (20); White Supremacist Terror Network (17); Ku Klux Klan and Allied Hate Groups (14); Texas White Supremacist Prison Gangs (10); White Supremacist Prison Gang Network (5)
30,'Ndrina Barbaro,Italy,30,7,16,Italian Mafia Network and Offshoots (50); Calabrian 'Ndrangheta Clans Network (47); Second 'Ndrangheta War Factions (42); Calabrian 'Ndrangheta Clans Network (28); Vibo Valentia 'Ndrangheta Clans (26); San Luca 'Ndrangheta Clans (17); Oppido Mamertina 'Ndrangheta Feud (13)
31,Banda della Magliana,Italy,29,5,19,Camorra-Cosa Nostra Coalition Network (68); Italian Mafia Network and Offshoots (50); Second 'Ndrangheta War Factions (42); Cittanova 'Ndrangheta Feuds and Alliances (19); San Luca 'Ndrangheta Clans (17)
32,Clan del Golfo,Colombia,29,9,45,Mexican Cartel Network and Rivalries (159); Italian Mafia Network and Offshoots (50); British Columbia Gang Conflict Network (38); Irish Republican and Criminal Networks (24); Ecuadorian Cartel Splinter Network (17); Tren de Aragua and Its Network (12); Corsican Mafia Network (10); Dutch-Moroccan Drug Trafficking Networks (8); Galician Drug Trafficking Rivalries (3)
33,Islamic State,Iraq,28,10,120,Afghan-Pakistani Jihadist Network (68); Italian Mafia Network and Offshoots (50); Axis of Resistance and Palestinian Factions (40); Turkish-Kurdish Conflict Network (35); Sudanese-Russian Paramilitary Network (26); Southeast Asian Islamist Militant Network (14); Philippine IS-affiliated Militant Groups (4); Bangladeshi Jihadist Offshoot (2); IS-CAP and ADF Alliance (2); Mahdi Army Successor Network (2)
34,Cartel de Medellín,Colombia,28,5,32,Global Outlaw Biker Network (243); Mexican Cartel Network and Rivalries (159); Colombian Paramilitary and Drug Trafficking Networks (45); Puerto Rican Criminal Network (16); Galician Drug Trafficking Rivalries (3)
35,'Ndrina Pesce,Italy,27,9,31,Mexican Cartel Network and Rivalries (159); Camorra-Cosa Nostra Coalition Network (68); Italian Mafia Network and Offshoots (50); Colombian Paramilitary and Drug Trafficking Networks (45); Second 'Ndrangheta War Factions (42); Calabrian 'Ndrangheta Clans Network (28); Vibo Valentia 'Ndrangheta Clans (26); Cittanova 'Ndrangheta Feuds and Alliances (19); Palmi 'Ndrangheta Feud and Alliances (15)
36,Cali Cartel,Colombia,27,8,32,Mexican Cartel Network and Rivalries (159); Italian Mafia Network and Offshoots (50); Chinese and Southeast Asian Criminal Networks (40); Canadian-Italian Mafia Networks (16); Puerto Rican Criminal Network (16); Russian-Japanese Criminal Alliance (8); Galician Drug Trafficking Rivalries (3); Hells Angels Cocaine Network (2)
37,'Ndrina Mammoliti,Italy,26,9,13,Camorra-Cosa Nostra Coalition Network (68); Italian Mafia Network and Offshoots (50); Second 'Ndrangheta War Factions (42); Calabrian 'Ndrangheta Core Alliance (31); Calabrian 'Ndrangheta Clans Network (28); Vibo Valentia 'Ndrangheta Clans (26); San Luca 'Ndrangheta Clans (17); Canadian-Italian Mafia Networks (16); Platì 'Ndrangheta Clans Network (16)
38,Corleonesi,Italy,26,9,68,American Mafia Network (111); Italian Mafia Network and Offshoots (50); Second 'Ndrangheta War Factions (42); Catania Mafia and Allied Clans (33); Canadian-Italian Mafia Networks (16); Palermo Mafia Clans and Conflicts (14); Sicilian Mafia Factions in Conflict (5); Sicilian Mafia Clans in Trapani (5); Greco Clan Rivalry (2)
39,Bandidos Motorcycle Club,United States,26,11,243,Mexican Cartel Network and Rivalries (159); New Zealand Gang Alliances and Rivalries (22); Scandinavian Immigrant Gangs and Allies (18); Outlaw Motorcycle Club Network (18); Indigenous Canadian Street Gangs (17); Outlaw Motorcycle Club Network (12); Serbian-Swedish Criminal Network (12); Sydney Gangland Feud Network (9); Finnish Biker Gang Network (6); Brother Speed and Associates (4); Mhallami Mafia Clans in Germany (4)
40,Cártel de Jalisco Nueva Generación,Mexico,26,10,159,Brazilian Prison Gangs and Drug Trafficking Networks (54); US Prison Gangs and Affiliates (51); Italian Mafia Network and Offshoots (50); Colombian Paramilitary and Drug Trafficking Networks (45); Colombian Cartels and Paramilitaries (32); Los Angeles Gang Alliances and Rivalries (29); Ecuadorian Cartel Splinter Network (17); Tren de Aragua and Its Network (12); Russian-Japanese Criminal Alliance (8); Guatemala-Mexico Border Drug Rivalry (3)
41,Nuova Famiglia,Italy,25,6,68,Naples Camorra Clans and Alliances (96); Italian Mafia Network and Offshoots (50); Calabrian 'Ndrangheta Core Alliance (31); Camorra Clans of Quindici (12); Camorra Clan Network in Sele Plain (8); Camorra Clan Feud (2)
42,West End Gang,Canada,25,9,16,Global Outlaw Biker Network (243); Mexican Cartel Network and Rivalries (159); Italian Mafia Network and Offshoots (50); British Columbia Gang Conflict Network (38); Colombian Cartels and Paramilitaries (32); Irish Republican and Criminal Networks (24); Indigenous Canadian Street Gangs (17); Quebec Biker Wars and Alliances (11); Boston Irish Mob Wars and Consolidation (9)
43,Independent Soldiers,Canada,24,7,38,Global Outlaw Biker Network (243); Mexican Cartel Network and Rivalries (159); US Prison Gangs and Affiliates (51); Calabrian 'Ndrangheta Clans Network (28); Indigenous Canadian Street Gangs (17); Canadian-Italian Mafia Networks (16); Filipino and Latino Street Gangs in Los Angeles (15)
44,Hezbollah,Lebanon,23,6,40,Mexican Cartel Network and Rivalries (159); Global Jihadist Network and Affiliates (120); Brazilian Prison Gangs and Drug Trafficking Networks (54); Colombian Paramilitary and Drug Trafficking Networks (45); Colombian Cartels and Paramilitaries (32); Irish Republican and Criminal Networks (24)
45,Cartel del Norte del Valle,Colombia,23,3,32,Mexican Cartel Network and Rivalries (159); Colombian Paramilitary and Drug Trafficking Networks (45); Axis of Resistance and Palestinian Factions (40)
46,Oficina de Envigado,Colombia,23,5,45,Mexican Cartel Network and Rivalries (159); Italian Mafia Network and Offshoots (50); Colombian Cartels and Paramilitaries (32); Tren de Aragua and Its Network (12); Dutch-Moroccan Drug Trafficking Networks (8)
47,Norteños,United States,21,8,51,Global Outlaw Biker Network (243); Mexican Cartel Network and Rivalries (159); Chicago Gang Alliances and Rivalries (77); Chinese and Southeast Asian Criminal Networks (40); Los Angeles Gang Alliances and Rivalries (29); Bloods and Crips Rivalry Network (20); East LA Sureño Gang Conflicts (7); White Supremacist Prison Gang Network (5)
48,Big Circle Gang,China,21,15,40,US Prison Gangs and Affiliates (51); Italian Mafia Network and Offshoots (50); Colombian Cartels and Paramilitaries (32); Los Angeles Gang Alliances and Rivalries (29); Bloods and Crips Rivalry Network (20); Myanmar Ethnic Armed Groups Network (19); White Supremacist Terror Network (17); Canadian-Italian Mafia Networks (16); Puerto Rican Criminal Network (16); Hmong and Asian American Street Gangs (15); Texas White Supremacist Prison Gangs (10); New York Chinatown Gang Conflicts (9); White Supremacist Prison Gang Network (5); Aryan Empire Formation (3); LASD Deputy Gangs Network (3)
49,Primeiro Comando da Capital,Brazil,20,10,54,Mexican Cartel Network and Rivalries (159); American Mafia Network (111); Japanese Yakuza Syndicate Network (68); Italian Mafia Network and Offshoots (50); Colombian Paramilitary and Drug Trafficking Networks (45); Axis of Resistance and Palestinian Factions (40); Ecuadorian Cartel Splinter Network (17); Tren de Aragua and Its Network (12); Sureños Gang Conflicts and Alliances (8); Russian-Japanese Criminal Alliance (8)
50,'Ndrina Bellocco,Italy,20,8,31,Camorra-Cosa Nostra Coalition Network (68); Italian Mafia Network and Offshoots (50); Catania Mafia and Allied Clans (33); Calabrian 'Ndrangheta Clans Network (28); Vibo Valentia 'Ndrangheta Clans (26); Cittanova 'Ndrangheta Feuds and Alliances (19); Bari Mafia Clusters and Rivalries (9); Ndrangheta Clans in Calabrian Feuds (6)
