a,b,country_a,country_b,same_country,n_items,items,opposing
'Ndrina Piromalli,'Ndrina Ursino,Italy,Italy,True,4,"[""'Ndrina Belfiore"", ""'Ndrina Costa"", ""Aquino 'ndrina"", ""Commisso 'ndrina""]","[""Commisso 'ndrina""]"
Colombo crime family,San Francisco crime family,United States,United States,True,4,"['Bonanno crime family', 'Chicago Outfit', 'Detroit Partnership', 'Los Angeles crime family']",['Bonanno crime family']
Colorado crime family,Gambino crime family,United States,United States,True,4,"['Bonanno crime family', 'Chicago Outfit', 'Los Angeles crime family', 'New Orleans crime family']",['Bonanno crime family']
Colorado crime family,Genovese crime family,United States,United States,True,4,"['Bonanno crime family', 'Chicago Outfit', 'Los Angeles crime family', 'New Orleans crime family']",['Bonanno crime family']
Gambino crime family,San Francisco crime family,United States,United States,True,4,"['Bonanno crime family', 'Chicago Outfit', 'Detroit Partnership', 'Los Angeles crime family']",['Bonanno crime family']
Kansas City crime family,San Jose crime family,United States,United States,True,4,"['Chicago Outfit', 'Dallas crime family', 'Los Angeles crime family', 'Pittsburgh crime family']",[]
New Orleans crime family,San Francisco crime family,United States,United States,True,4,"['Chicago Outfit', 'Dallas crime family', 'Detroit Partnership', 'Los Angeles crime family']",['Chicago Outfit']
Patriarca crime family,San Francisco crime family,United States,United States,True,4,"['Bonanno crime family', 'Chicago Outfit', 'Detroit Partnership', 'Los Angeles crime family']",[]
18th Street Gang,Guerreros Unidos,United States,Mexico,False,4,"['Beltrán-Leyva Organization', 'Juárez Cartel', 'La Familia Michoacana', 'Tijuana Cartel']",['La Familia Michoacana']
'Ndrina Ierinò,'Ndrina Morabito,Italy,Italy,True,4,"[""'Ndrina Cataldo"", ""'Ndrina Lo Presti"", ""'Ndrina Mazzaferro"", ""Aquino 'ndrina""]","[""'Ndrina Mazzaferro""]"
Colorado crime family,Milwaukee crime family,United States,United States,True,4,"['Bonanno crime family', 'Chicago Outfit', 'Kansas City crime family', 'St. Louis crime family']",['Chicago Outfit']
San Francisco crime family,Trafficante crime family,United States,United States,True,4,"['Bonanno crime family', 'Chicago Outfit', 'Dallas crime family', 'Detroit Partnership']",[]
San Jose crime family,Trafficante crime family,United States,United States,True,4,"['Bonanno crime family', 'Chicago Outfit', 'Dallas crime family', 'Pittsburgh crime family']",[]
Bonanno crime family,St. Louis crime family,United States,United States,True,4,"['Chicago Outfit', 'Colorado crime family', 'Detroit Partnership', 'Milwaukee crime family']",[]
'Ndrina Marando,Molluso 'ndrina,Italy,Italy,True,4,"[""'Ndrina Barbaro"", ""'Ndrina Papalia"", ""Sergi 'ndrina"", ""Trimboli 'ndrina""]",[]
Clan dei Casamonica,Commisso 'ndrina,Italy,Italy,True,4,"[""'Ndrina Alvaro"", ""'Ndrina Molè"", ""'Ndrina Piromalli"", 'Secondigliano Alliance']","[""'Ndrina Piromalli""]"
Kansas City crime family,Trafficante crime family,United States,United States,True,4,"['Chicago Outfit', 'Dallas crime family', 'New Orleans crime family', 'Pittsburgh crime family']",[]
Black Disciples,Crips,United States,United States,True,4,"['Black Gangster Disciples Nation', 'Black Guerrilla Family', 'La Raza Nation', 'Supreme Team']",['Black Gangster Disciples Nation']
'Ndrangheta,Alfieri clan,Italy,Italy,True,3,"['Clan Cappello', 'Clan dei Casalesi', 'Corleonesi']",['Clan dei Casalesi']
'Ndrina Giuliano,Clan Galasso di Poggiomarino,Italy,Italy,True,3,"['Clan Nuvoletta', 'Clan dei Casalesi', 'Nuova Famiglia']",['Clan Nuvoletta']
'Ndrina Mancuso,Nuova Camorra Organizzata,Italy,Italy,True,3,"[""'Ndrina De Stefano"", ""'Ndrina Piromalli"", 'Clan dei Casalesi']",['Clan dei Casalesi']
Alfieri clan,Mallardo clan,Italy,Italy,True,3,"['Cesarano clan', 'Clan Cappello', 'Clan dei Casalesi']",['Clan dei Casalesi']
Catania Mafia family,Gambino crime family,Italy,United States,False,3,"['Clan dei Casalesi', 'Corleonesi', 'Inzerillo Mafia clan']",[]
Mallardo clan,Nuova Famiglia,Italy,Italy,True,3,"['Cesarano clan', 'Clan dei Casalesi', 'Contini clan']",['Clan dei Casalesi']
'Ndrangheta,Beltrán-Leyva Organization,Italy,Mexico,False,3,"['Cártel de Jalisco Nueva Generación', 'Los Zetas', 'Sinaloa Cartel']",['Sinaloa Cartel']
'Ndrangheta,Cartel de Medellín,Italy,Colombia,False,3,"['Gulf Cartel', 'Hells Angels Motorcycle Club', 'Sinaloa Cartel']",[]
'Ndrangheta,Crips,Italy,United States,False,3,"['American Mafia', 'Gambino crime family', 'Sinaloa Cartel']",[]
'Ndrangheta,Independent Soldiers,Italy,Canada,False,3,"['Hells Angels Motorcycle Club', 'Rizzuto crime family', 'Sinaloa Cartel']",['Hells Angels Motorcycle Club']
'Ndrangheta,Knights Templar Cartel,Italy,Mexico,False,3,"['Cártel de Jalisco Nueva Generación', 'Gulf Cartel', 'Sinaloa Cartel']",['Cártel de Jalisco Nueva Generación']
'Ndrangheta,Los Charlines,Italy,Spain,False,3,"['Clan del Golfo', 'Nuova Camorra Organizzata', 'Sinaloa Cartel']",[]
'Ndrangheta,Los Huistas,Italy,Guatemala,False,3,"['Cártel de Jalisco Nueva Generación', 'Gulf Cartel', 'Sinaloa Cartel']",[]
'Ndrangheta,Los Mexicles,Italy,Mexico,False,3,"['Cártel de Jalisco Nueva Generación', 'Gulf Cartel', 'Sinaloa Cartel']",['Gulf Cartel']
'Ndrangheta,Los Talibanes,Italy,Mexico,False,3,"['Cártel de Jalisco Nueva Generación', 'Gulf Cartel', 'Sinaloa Cartel']",['Cártel de Jalisco Nueva Generación']
'Ndrangheta,Sun Yee On,Italy,Hong Kong,False,3,"['American Mafia', 'Camorra', 'Sinaloa Cartel']",[]
'Ndrangheta,Wolfpack Alliance,Italy,Canada,False,3,"['Hells Angels Motorcycle Club', 'Rizzuto crime family', 'Sinaloa Cartel']",['Sinaloa Cartel']
American Mafia,Autodefensas Unidas de Colombia,United States,Colombia,False,3,"[""'Ndrangheta"", 'Oficina de Envigado', 'Sinaloa Cartel']",[]
American Mafia,Cartel de Medellín,United States,Colombia,False,3,"['Hells Angels Motorcycle Club', 'Oficina de Envigado', 'Sinaloa Cartel']",['Oficina de Envigado']
American Mafia,Independent Soldiers,United States,Canada,False,3,"['Hells Angels Motorcycle Club', 'Mexican Mafia', 'Sinaloa Cartel']",['Hells Angels Motorcycle Club']
American Mafia,Wolfpack Alliance,United States,Canada,False,3,"['Hells Angels Motorcycle Club', 'Sinaloa Cartel', 'West End Gang']",['Sinaloa Cartel']
Autodefensas Unidas de Colombia,Cártel de Jalisco Nueva Generación,Colombia,Mexico,False,3,"[""'Ndrangheta"", 'Cartel del Norte del Valle', 'Sinaloa Cartel']",['Sinaloa Cartel']
Autodefensas Unidas de Colombia,Los Cachiros,Colombia,Honduras,False,3,"['Cartel del Norte del Valle', 'Los Rastrojos', 'Sinaloa Cartel']",[]
Beltrán-Leyva Organization,Clan del Golfo,Mexico,Colombia,False,3,"['Cártel de Jalisco Nueva Generación', 'Los Zetas', 'Sinaloa Cartel']",['Sinaloa Cartel']
Beltrán-Leyva Organization,Hezbollah,Mexico,Lebanon,False,3,"['Cartel del Norte del Valle', 'Los Zetas', 'Sinaloa Cartel']",['Sinaloa Cartel']
Beltrán-Leyva Organization,Los Rastrojos,Mexico,Colombia,False,3,"['Cartel del Norte del Valle', 'Los Zetas', 'Sinaloa Cartel']",['Sinaloa Cartel']
Beltrán-Leyva Organization,Mexican Mafia,Mexico,United States,False,3,"['18th Street Gang', 'Sinaloa Cartel', 'Tijuana Cartel']",['Sinaloa Cartel']
Beltrán-Leyva Organization,Revolutionary Armed Forces of Colombia,Mexico,Colombia,False,3,"['Cártel de Jalisco Nueva Generación', 'Sinaloa Cartel', 'Tijuana Cartel']",['Sinaloa Cartel']
Beltrán-Leyva Organization,Yakuza,Mexico,Japan,False,3,"['Cártel de Jalisco Nueva Generación', 'Los Viagras', 'Sinaloa Cartel']",['Sinaloa Cartel']
Cali Cartel,Cártel de Colima,Colombia,Mexico,False,3,"['Guadalajara Cartel', 'Sinaloa Cartel', 'Sonora Cartel']",[]
Cali Cartel,Hells Angels Motorcycle Club,Colombia,United States,False,3,"['Cartel de Medellín', 'Sinaloa Cartel', 'West End Gang']",['Cartel de Medellín']
Cali Cartel,Latin Kings,Colombia,United States,False,3,"['Gulf Cartel', 'Martinez Familia Sangeros', 'Sinaloa Cartel']",[]
Cali Cartel,Mara Salvatrucha,Colombia,United States,False,3,"['Big Circle Gang', 'Gulf Cartel', 'Sinaloa Cartel']",[]
Cali Cartel,Mexican Mafia,Colombia,United States,False,3,"['Gulf Cartel', 'Sinaloa Cartel', 'Tijuana Cartel']",[]
Cali Cartel,Oficina de Envigado,Colombia,Colombia,True,3,"['Cartel de Medellín', 'Los Pepes', 'Sinaloa Cartel']",['Cartel de Medellín']
Cartel de Medellín,Mexican Mafia,Colombia,United States,False,3,"['Gulf Cartel', 'Hells Angels Motorcycle Club', 'Sinaloa Cartel']",['Hells Angels Motorcycle Club']
Cartel de Medellín,West End Gang,Colombia,Canada,False,3,"['Cali Cartel', 'Hells Angels Motorcycle Club', 'Sinaloa Cartel']",['Cali Cartel']
Cartel del Norte del Valle,Cártel de Colima,Colombia,Mexico,False,3,"['Cártel de Jalisco Nueva Generación', 'Guadalajara Cartel', 'Sinaloa Cartel']",[]
Cartel del Norte del Valle,Los Viagras,Colombia,Mexico,False,3,"['Beltrán-Leyva Organization', 'Cártel de Jalisco Nueva Generación', 'Sinaloa Cartel']",['Cártel de Jalisco Nueva Generación']
Cartel del Norte del Valle,Mara Salvatrucha,Colombia,United States,False,3,"['Cártel de Jalisco Nueva Generación', 'Los Zetas', 'Sinaloa Cartel']",['Los Zetas']
Cartel del Norte del Valle,Popular Liberation Army,Colombia,Colombia,True,3,"['Cártel de Jalisco Nueva Generación', 'Los Rastrojos', 'Sinaloa Cartel']",['Los Rastrojos']
Cartel del Norte del Valle,Sonora Cartel,Colombia,Mexico,False,3,"['Cali Cartel', 'Guadalajara Cartel', 'Sinaloa Cartel']",['Cali Cartel']
Chaldean mafia,Hells Angels Motorcycle Club,United States,United States,True,3,"['American Mafia', 'Mexican Mafia', 'Sinaloa Cartel']",['Mexican Mafia']
Clan del Golfo,Hezbollah,Colombia,Lebanon,False,3,"['Kinahan Organised Crime Group', 'Los Zetas', 'Sinaloa Cartel']",[]
Crips,Hells Angels Motorcycle Club,United States,United States,True,3,"['American Mafia', 'Gambino crime family', 'Sinaloa Cartel']",[]
Cártel de Jalisco Nueva Generación,Los Cachiros,Mexico,Honduras,False,3,"['Cartel del Norte del Valle', 'Clan del Golfo', 'Sinaloa Cartel']",['Sinaloa Cartel']
Cártel de Santa Rosa de Lima,Knights Templar Cartel,Mexico,Mexico,True,3,"['Gulf Cartel', 'Los Viagras', 'Sinaloa Cartel']",['Los Viagras']
Cártel de Santa Rosa de Lima,La Nueva Familia Michoacana,Mexico,Mexico,True,3,"['Cárteles Unidos', 'Los Viagras', 'Sinaloa Cartel']",[]
Guadalajara Cartel,La Familia Michoacana,Mexico,Mexico,True,3,"['Juárez Cartel', 'Sinaloa Cartel', 'Tijuana Cartel']",[]
Guadalajara Cartel,Los Charlines,Mexico,Spain,False,3,"['Cali Cartel', 'Cartel de Medellín', 'Sinaloa Cartel']",[]
Guadalajara Cartel,Milenio Cartel,Mexico,Mexico,True,3,"['Cartel de Medellín', 'Cártel de Colima', 'Sinaloa Cartel']",[]
Gulf Cartel,Kinahan Organised Crime Group,Mexico,Ireland,False,3,"[""'Ndrangheta"", 'Camorra', 'Sinaloa Cartel']",['Sinaloa Cartel']
Gulf Cartel,Los Charlines,Mexico,Spain,False,3,"['Cali Cartel', 'Cartel de Medellín', 'Sinaloa Cartel']",['Sinaloa Cartel']
Gulf Cartel,Sonora Cartel,Mexico,Mexico,True,3,"['Cali Cartel', 'Cartel de Medellín', 'Sinaloa Cartel']",['Sinaloa Cartel']
Hamas,Revolutionary Armed Forces of Colombia,Palestine,Colombia,False,3,"['Hezbollah', 'Popular Front for the Liberation of Palestine', 'Sinaloa Cartel']",['Hezbollah']
Hells Angels Motorcycle Club,Oficina de Envigado,United States,Colombia,False,3,"['American Mafia', 'Cartel de Medellín', 'Sinaloa Cartel']",['Cartel de Medellín']
Juárez Cartel,Los Charlines,Mexico,Spain,False,3,"['Cali Cartel', 'Cartel de Medellín', 'Sinaloa Cartel']",['Sinaloa Cartel']
Kinahan Organised Crime Group,Los Choneros,Ireland,Ecuador,False,3,"[""'Ndrangheta"", 'Clan del Golfo', 'Sinaloa Cartel']",[]
Knights Templar Cartel,Los Huistas,Mexico,Guatemala,False,3,"['Cártel de Jalisco Nueva Generación', 'Gulf Cartel', 'Sinaloa Cartel']",['Cártel de Jalisco Nueva Generación']
Knights Templar Cartel,Los Talibanes,Mexico,Mexico,True,3,"['Cártel de Jalisco Nueva Generación', 'Gulf Cartel', 'Sinaloa Cartel']",['Cártel de Jalisco Nueva Generación']
La Barredora,Tijuana Cartel,Mexico,Mexico,True,3,"['Guerreros Unidos', 'Los Zetas', 'Sinaloa Cartel']",['Sinaloa Cartel']
La Familia Michoacana,Latin Kings,Mexico,United States,False,3,"['18th Street Gang', 'Gulf Cartel', 'Sinaloa Cartel']",['Gulf Cartel']
La Familia Michoacana,Revolutionary Armed Forces of Colombia,Mexico,Colombia,False,3,"['Cártel de Jalisco Nueva Generación', 'Sinaloa Cartel', 'Tijuana Cartel']",['Cártel de Jalisco Nueva Generación']
Los Cachiros,Oficina de Envigado,Honduras,Colombia,False,3,"['Clan del Golfo', 'Los Rastrojos', 'Sinaloa Cartel']",['Clan del Golfo']
Los Charlines,National Liberation Army (Colombia),Spain,Colombia,False,3,"['Cartel de Medellín', 'Clan del Golfo', 'Sinaloa Cartel']",['Clan del Golfo']
Los Charlines,Sonora Cartel,Spain,Mexico,False,3,"['Cali Cartel', 'Cartel de Medellín', 'Sinaloa Cartel']",[]
Los Choneros,Los Zetas,Ecuador,Mexico,False,3,"[""'Ndrangheta"", 'Clan del Golfo', 'Sinaloa Cartel']",['Sinaloa Cartel']
Los Huistas,Los Mexicles,Guatemala,Mexico,False,3,"['Cártel de Jalisco Nueva Generación', 'Gulf Cartel', 'Sinaloa Cartel']",['Gulf Cartel']
Los Huistas,Los Talibanes,Guatemala,Mexico,False,3,"['Cártel de Jalisco Nueva Generación', 'Gulf Cartel', 'Sinaloa Cartel']",['Cártel de Jalisco Nueva Generación']
Los Huistas,Mara Salvatrucha,Guatemala,United States,False,3,"['Cártel de Jalisco Nueva Generación', 'Gulf Cartel', 'Sinaloa Cartel']",[]
Los Talibanes,Mara Salvatrucha,Mexico,United States,False,3,"['Cártel de Jalisco Nueva Generación', 'Gulf Cartel', 'Sinaloa Cartel']",['Cártel de Jalisco Nueva Generación']
Mexican Mafia,West End Gang,United States,Canada,False,3,"['American Mafia', 'Hells Angels Motorcycle Club', 'Sinaloa Cartel']",['Hells Angels Motorcycle Club']
Milenio Cartel,Sonora Cartel,Mexico,Mexico,True,3,"['Cartel de Medellín', 'Cártel de Colima', 'Sinaloa Cartel']",[]
Oficina de Envigado,Popular Liberation Army,Colombia,Colombia,True,3,"['Ejército Revolucionario Popular Antisubversivo de Colombia', 'Los Rastrojos', 'Sinaloa Cartel']",['Los Rastrojos']
Revolutionary Armed Forces of Colombia,Yakuza,Colombia,Japan,False,3,"['Cártel de Jalisco Nueva Generación', 'Primeiro Comando da Capital', 'Sinaloa Cartel']",[]
'Ndrangheta,Genovese crime family,Italy,United States,False,3,"['Gambino crime family', 'Hells Angels Motorcycle Club', 'Solntsevskaya Bratva']",['Gambino crime family']
Cártel de Jalisco Nueva Generación,Sicilian Mafia,Mexico,Italy,False,3,"[""'Ndrangheta"", 'Camorra', 'Clan del Golfo']","[""'Ndrangheta""]"
Ejército Revolucionario Popular Antisubversivo de Colombia,Los Zetas,Colombia,Mexico,False,3,"['Clan del Golfo', 'Los Rastrojos', 'Oficina de Envigado']",['Clan del Golfo']
Gang de la Brise de Mer,Los Zetas,France,Mexico,False,3,"[""'Ndrangheta"", 'Clan del Golfo', 'Sicilian Mafia']",[]
Gang de la Brise de Mer,Sinaloa Cartel,France,Mexico,False,3,"[""'Ndrangheta"", 'American Mafia', 'Clan del Golfo']",[]
Gang de la Brise de Mer,Tren de Aragua,France,Venezuela,False,3,"[""'Ndrangheta"", 'American Mafia', 'Clan del Golfo']",['Clan del Golfo']
Kinahan Organised Crime Group,Sicilian Mafia,Ireland,Italy,False,3,"[""'Ndrangheta"", 'Camorra', 'Clan del Golfo']","[""'Ndrangheta""]"
Kinahan Organised Crime Group,Tren de Aragua,Ireland,Venezuela,False,3,"[""'Ndrangheta"", 'Camorra', 'Clan del Golfo']",['Clan del Golfo']
Los Choneros,Tren de Aragua,Ecuador,Venezuela,False,3,"[""'Ndrangheta"", 'Clan del Golfo', 'Primeiro Comando da Capital']",['Clan del Golfo']
Oficina de Envigado,Sicilian Mafia,Colombia,Italy,False,3,"['American Mafia', 'Clan del Golfo', 'Los Zetas']",['Clan del Golfo']
Beltrán-Leyva Organization,Cártel de Caborca,Mexico,Mexico,True,3,"['Cártel de Jalisco Nueva Generación', 'Juárez Cartel', 'Tijuana Cartel']",[]
Beltrán-Leyva Organization,Los Chapitos,Mexico,Mexico,True,3,"['Cártel de Jalisco Nueva Generación', 'Juárez Cartel', 'La Línea']",[]
Camorra,La Línea,Italy,Mexico,False,3,"['Cártel de Jalisco Nueva Generación', 'Gulf Cartel', 'Tren de Aragua']",[]
Camorra,Mara Salvatrucha,Italy,United States,False,3,"['Cártel de Jalisco Nueva Generación', 'Gulf Cartel', 'Tren de Aragua']",[]
Camorra,Primeiro Comando da Capital,Italy,Brazil,False,3,"[""'Ndrangheta"", 'Cártel de Jalisco Nueva Generación', 'Tren de Aragua']",[]
Cartel del Norte del Valle,Cártel de Caborca,Colombia,Mexico,False,3,"['Cártel de Jalisco Nueva Generación', 'Juárez Cartel', 'Tijuana Cartel']",[]
Cartel del Norte del Valle,La Línea,Colombia,Mexico,False,3,"['Beltrán-Leyva Organization', 'Cártel de Jalisco Nueva Generación', 'Los Zetas']",[]
Clan del Golfo,La Línea,Colombia,Mexico,False,3,"['Cártel de Jalisco Nueva Generación', 'Los Zetas', 'Tren de Aragua']",['Tren de Aragua']
Cártel de Caborca,Guerreros Unidos,Mexico,Mexico,True,3,"['Cártel de Jalisco Nueva Generación', 'Juárez Cartel', 'Tijuana Cartel']",['Cártel de Jalisco Nueva Generación']
Cártel de Caborca,La Familia Michoacana,Mexico,Mexico,True,3,"['Cártel de Jalisco Nueva Generación', 'Juárez Cartel', 'Tijuana Cartel']",['Cártel de Jalisco Nueva Generación']
Guerreros Unidos,La Línea,Mexico,Mexico,True,3,"['Beltrán-Leyva Organization', 'Cártel de Jalisco Nueva Generación', 'Los Zetas']",['Cártel de Jalisco Nueva Generación']
Los Caparrapos,Sinaloa Cartel,Colombia,Mexico,False,3,"['Cártel de Jalisco Nueva Generación', 'National Liberation Army (Colombia)', 'Oficina de Envigado']",['Cártel de Jalisco Nueva Generación']
Los Mexicles,Tren de Aragua,Mexico,Venezuela,False,3,"['Cártel de Jalisco Nueva Generación', 'La Empresa', 'La Línea']",['La Línea']
Nuestra Familia,Sinaloa Cartel,United States,Mexico,False,3,"['Crips', 'Cártel de Jalisco Nueva Generación', 'Latin Kings']",['Cártel de Jalisco Nueva Generación']
Revolutionary Armed Forces of Colombia,Tren de Aragua,Colombia,Venezuela,False,3,"['Comando Vermelho', 'Cártel de Jalisco Nueva Generación', 'Primeiro Comando da Capital']",['Comando Vermelho']
Tren de Aragua,Yakuza,Venezuela,Japan,False,3,"['American Mafia', 'Cártel de Jalisco Nueva Generación', 'Primeiro Comando da Capital']",[]
Big Circle Gang,Cuntrera-Caruana Mafia clan,China,Italy,False,3,"[""'Ndrangheta"", 'Cali Cartel', 'Rizzuto crime family']",[]
Big Circle Gang,Hells Angels Motorcycle Club,China,United States,False,3,"[""'Ndrangheta"", 'American Mafia', 'Rizzuto crime family']",[]
Big Circle Gang,West End Gang,China,Canada,False,3,"['American Mafia', 'Cali Cartel', 'Rizzuto crime family']",[]
Cuntrera-Caruana Mafia clan,West End Gang,Italy,Canada,False,3,"['Cali Cartel', 'Musitano crime family', 'Rizzuto crime family']",[]
'Ndrangheta,Aryan Brotherhood,Italy,United States,False,3,"['American Mafia', 'Gambino crime family', 'Hells Angels Motorcycle Club']",['Hells Angels Motorcycle Club']
'Ndrangheta,Cleveland crime family,Italy,United States,False,3,"['American Mafia', 'Gambino crime family', 'Hells Angels Motorcycle Club']",[]
'Ndrangheta,Greco Mafia clan,Italy,Italy,True,3,"['American Mafia', 'Corleonesi', 'Sicilian Mafia']",['Sicilian Mafia']
Armenian Power,Hells Angels Motorcycle Club,United States,United States,True,3,"['American Mafia', 'Los Angeles crime family', 'Mexican Mafia']",['Mexican Mafia']
Aryan Brotherhood,Outlaws Motorcycle Club,United States,United States,True,3,"['American Mafia', 'Aryan Nations', 'Chicago Outfit']",[]
Big Circle Gang,Camorra,China,Italy,False,3,"[""'Ndrangheta"", 'American Mafia', 'Cali Cartel']",[]
Big Circle Gang,Martinez Familia Sangeros,China,Puerto Rico,False,3,"['American Mafia', 'Cali Cartel', 'Ñetas']",[]
Big Circle Gang,Tren de Aragua,China,Venezuela,False,3,"[""'Ndrangheta"", 'American Mafia', 'Mara Salvatrucha']",[]
Bloods,Pagan's Motorcycle Club,United States,United States,True,3,"['American Mafia', 'Gambino crime family', 'Latin Kings']",[]
Bloods,Sinaloa Cartel,United States,Mexico,False,3,"['American Mafia', 'Crips', 'Latin Kings']",['Crips']
Camorra,Gang de la Brise de Mer,Italy,France,False,3,"[""'Ndrangheta"", 'American Mafia', 'Sicilian Mafia']",[]
Camorra,Greco Mafia clan,Italy,Italy,True,3,"['American Mafia', 'Corleonesi', 'Sicilian Mafia']",[]
Camorra,Hells Angels Motorcycle Club,Italy,United States,False,3,"[""'Ndrangheta"", 'American Mafia', 'Kinahan Organised Crime Group']",[]
Camorra,Martinez Familia Sangeros,Italy,Puerto Rico,False,3,"['American Mafia', 'Cali Cartel', 'Gulf Cartel']",['Gulf Cartel']
Cleveland crime family,Latin Kings,United States,United States,True,3,"['American Mafia', 'Gambino crime family', 'Genovese crime family']",[]
Cleveland crime family,Sicilian Mafia,United States,Italy,False,3,"['American Mafia', 'Detroit Partnership', 'Gambino crime family']",[]
Hells Angels Motorcycle Club,Siderno Group,United States,Italy,False,3,"['American Mafia', 'Cotroni crime family', 'Musitano crime family']",['Musitano crime family']
Latin Kings,Outlaws Motorcycle Club,United States,United States,True,3,"['American Mafia', 'Genovese crime family', ""Pagan's Motorcycle Club""]","[""Pagan's Motorcycle Club""]"
Loners Motorcycle Club,West End Gang,Canada,Canada,True,3,"['American Mafia', 'Hells Angels Motorcycle Club', 'Rock Machine Motorcycle Club']",['Hells Angels Motorcycle Club']
Mexican Mafia,Pagan's Motorcycle Club,United States,United States,True,3,"['American Mafia', 'Gambino crime family', 'Mongols MC']",['Mongols MC']
Nuova Mala del Brenta,Sacra Corona Unita,Italy,Italy,True,3,"['American Mafia', 'Camorra', 'Nuova Camorra Organizzata']",['Nuova Camorra Organizzata']
Outlaws Motorcycle Club,Sicilian Mafia,United States,Italy,False,3,"['American Mafia', 'Buffalo crime family', 'Detroit Partnership']",[]
Outlaws Motorcycle Club,West End Gang,United States,Canada,False,3,"['American Mafia', 'Rock Machine Motorcycle Club', ""Satan's Choice Motorcycle Club""]","[""Satan's Choice Motorcycle Club""]"
Sacra Corona Unita,Stidda,Italy,Italy,True,3,"[""'Ndrangheta"", 'American Mafia', 'Camorra']",['American Mafia']
Sacra Corona Unita,Tren de Aragua,Italy,Venezuela,False,3,"[""'Ndrangheta"", 'American Mafia', 'Camorra']",[]
Siderno Group,West End Gang,Italy,Canada,False,3,"['American Mafia', 'Cotroni crime family', 'Musitano crime family']",['Musitano crime family']
Stidda,Tren de Aragua,Italy,Venezuela,False,3,"[""'Ndrangheta"", 'American Mafia', 'Camorra']",['American Mafia']
'Ndrangheta,Clan Di Lauro,Italy,Italy,True,3,"['Clan Licciardi', 'Clan Mazzarella', 'Sacra Corona Unita']",[]
Clan Di Lauro,Polverino clan,Italy,Italy,True,3,"['Clan Licciardi', 'Mallardo clan', 'Sacra Corona Unita']",[]
Moccia clan,Secondigliano Alliance,Italy,Italy,True,3,"['Clan Licciardi', 'Clan Sacco-Bocchetti', 'Contini clan']",[]
'Ndrangheta,Clan degli Spada,Italy,,,3,"[""'Ndrina Fazzari"", 'Banda della Magliana', 'Clan dei Casamonica']",[]
'Ndrina Alvaro,Camorra,Italy,Italy,True,3,"[""'Ndrina De Stefano"", ""'Ndrina Palamara"", 'Clan dei Casamonica']",[]
'Ndrina Fazzari,Banda della Magliana,Italy,Italy,True,3,"[""'Ndrangheta"", 'Clan degli Spada', 'Clan dei Casamonica']",[]
'Ndrangheta,Clan dei Cursoti,Italy,Italy,True,3,"['Chiofaliani', 'Clan Cappello', 'Stidda']",[]
'Ndrina Pelle,Camorra,Italy,Italy,True,3,"['Catania Mafia family', 'Clan Cappello', 'Sacra Corona Unita']",[]
Camorra,Clan dei Cursoti,Italy,Italy,True,3,"['Catania Mafia family', 'Clan Cappello', 'Stidda']",['Catania Mafia family']
American Mafia,Banda della Magliana,United States,Italy,False,3,"[""'Ndrangheta"", 'Camorra', 'Sicilian Mafia']",[]
American Mafia,Polverino clan,United States,Italy,False,3,"[""'Ndrangheta"", 'Sacra Corona Unita', 'Sicilian Mafia']",[]
Banda della Magliana,Polverino clan,Italy,Italy,True,3,"[""'Ndrangheta"", 'Clan Lubrano-Ligato', 'Sicilian Mafia']",[]
Bonanno crime family,Solntsevskaya Bratva,United States,Russia,False,3,"['Cuntrera-Caruana Mafia clan', 'Genovese crime family', 'Sicilian Mafia']",['Genovese crime family']
Camorra,Gambino crime family,Italy,United States,False,3,"[""'Ndrangheta"", 'Corleonesi', 'Sicilian Mafia']",[]
Camorra,Los Zetas,Italy,Mexico,False,3,"[""'Ndrangheta"", 'Gulf Cartel', 'Sicilian Mafia']",['Gulf Cartel']
Corleonesi,Polverino clan,Italy,Italy,True,3,"[""'Ndrangheta"", 'Clan Lubrano-Ligato', 'Sicilian Mafia']",['Sicilian Mafia']
Corleonesi,Solntsevskaya Bratva,Italy,Russia,False,3,"[""'Ndrangheta"", 'Cuntrera-Caruana Mafia clan', 'Sicilian Mafia']",['Sicilian Mafia']
Gambino crime family,Greco Mafia clan,United States,Italy,False,3,"['Corleonesi', 'Inzerillo Mafia clan', 'Sicilian Mafia']",[]
American Mafia,Primeiro Comando da Capital,United States,Brazil,False,3,"[""'Ndrangheta"", 'Tren de Aragua', 'Yakuza']",[]
Cártel de Jalisco Nueva Generación,La Empresa,Mexico,Colombia,False,3,"['La Línea', 'Los Mexicles', 'Tren de Aragua']",[]
Aquino 'ndrina,Tijuana Cartel,Italy,Mexico,False,3,"['Gulf Cartel', 'Los Zetas', 'Revolutionary Armed Forces of Colombia']",['Gulf Cartel']
Barrio Azteca,Cartel del Norte del Valle,United States,Colombia,False,3,"['Beltrán-Leyva Organization', 'Juárez Cartel', 'Los Zetas']",[]
Barrio Azteca,Guerreros Unidos,United States,Mexico,False,3,"['Beltrán-Leyva Organization', 'Juárez Cartel', 'Los Zetas']",[]
Barrio Azteca,Tijuana Cartel,United States,Mexico,False,3,"['Beltrán-Leyva Organization', 'Juárez Cartel', 'Los Zetas']",['Juárez Cartel']
Juárez Cartel,South Pacific Cartel,Mexico,Mexico,True,3,"['Beltrán-Leyva Organization', 'Los Mazatlecos', 'Los Zetas']",['Los Zetas']
