a,b,country_a,country_b,same_country,n_coop_partners,score_coop_partners,n_adversaries,score_adversaries,coop_partners,adversaries
Guerreros Unidos,La Línea,Mexico,Mexico,True,3,7,1,3,"['Beltrán-Leyva Organization', 'Cártel de Jalisco Nueva Generación', 'Los Zetas']",['Sinaloa Cartel']
Guerreros Unidos,Los Mazatlecos,Mexico,Mexico,True,2,4,3,6,"['Juárez Cartel', 'Los Zetas']","['Cártel de Jalisco Nueva Generación', 'Gulf Cartel', 'Sinaloa Cartel']"
Lucchese crime family,Westies,United States,United States,True,2,7,2,3,"['DeMeo crew', 'Gambino crime family']","['Colombo crime family', 'Genovese crime family']"
Bonde do Maluco,Bonde dos 40,Brazil,Brazil,True,4,6,1,3,"['Guardiões do Estado', 'Primeiro Comando da Capital', 'Sindicato do Crime do Rio Grande do Norte', 'Terceiro Comando Puro']",['Comando Vermelho']
Gulf Cartel,Tren de Aragua,Mexico,Venezuela,False,5,6,2,3,"[""'Ndrangheta"", 'Camorra', 'Cártel de Jalisco Nueva Generación', 'La Línea', 'Mara Salvatrucha']","['18th Street Gang', 'Sinaloa Cartel']"
Knights Templar Cartel,Los Talibanes,Mexico,Mexico,True,3,6,1,3,"['Cártel de Jalisco Nueva Generación', 'Gulf Cartel', 'Sinaloa Cartel']",['Cártel de Jalisco Nueva Generación']
Cártel de Santa Rosa de Lima,La Nueva Familia Michoacana,Mexico,Mexico,True,3,3,1,6,"['Cárteles Unidos', 'Los Viagras', 'Sinaloa Cartel']",['Cártel de Jalisco Nueva Generación']
Beltrán-Leyva Organization,Mexican Mafia,Mexico,United States,False,3,7,1,2,"['18th Street Gang', 'Sinaloa Cartel', 'Tijuana Cartel']",['Mara Salvatrucha']
Beltrán-Leyva Organization,Guadalajara Cartel,Mexico,Mexico,True,4,6,1,3,"['Cartel del Norte del Valle', 'Juárez Cartel', 'Sinaloa Cartel', 'Tijuana Cartel']",['Gulf Cartel']
Armenian Power,Sinaloa Cartel,United States,Mexico,False,4,8,1,1,"['American Mafia', 'Los Cachiros', 'Mexican Mafia', 'Vineland Boys']",['18th Street Gang']
Gypsy Joker Motorcycle Club,Mongols MC,United States,United States,True,1,2,3,7,['Outlaws Motorcycle Club'],"['Bandidos Motorcycle Club', 'Hells Angels Motorcycle Club', 'Mongrel Mob']"
Knights Templar Cartel,Mexican Mafia,Mexico,United States,False,2,6,2,3,"['Gulf Cartel', 'Sinaloa Cartel']","['Los Zetas', 'Mara Salvatrucha']"
La Línea,Los Mazatlecos,Mexico,Mexico,True,1,3,2,5,['Los Zetas'],"['Los Ántrax', 'Sinaloa Cartel']"
Cártel de Caborca,La Línea,Mexico,Mexico,True,1,4,3,4,['Cártel de Jalisco Nueva Generación'],"['Cártel del Noreste', 'La Mayiza', 'Sinaloa Cartel']"
Martinez Familia Sangeros,Sinaloa Cartel,Puerto Rico,Mexico,False,5,7,1,1,"['American Mafia', 'Cali Cartel', 'Guadalajara Cartel', 'Gulf Cartel', 'Latin Kings']",['Gulf Cartel']
Los Viagras,Nueva Plaza Cartel,Mexico,Mexico,True,1,1,1,7,['Sinaloa Cartel'],['Cártel de Jalisco Nueva Generación']
Al-Shabaab,Hezbollah,Somalia,Lebanon,False,2,5,1,3,"['Al-Qaeda', 'Houthis']",['Islamic State']
Cartel del Norte del Valle,Revolutionary Armed Forces of Colombia,Colombia,Colombia,True,5,6,1,2,"['Cártel de Jalisco Nueva Generación', 'Hezbollah', 'Los Rastrojos', 'Sinaloa Cartel', 'Tijuana Cartel']",['Cartel de Medellín']
Colombo crime family,Rizzuto crime family,United States,Canada,False,1,7,1,1,['Bonanno crime family'],['Bonanno crime family']
Los Metros,Mara Salvatrucha,Mexico,United States,False,2,4,2,4,"['Cártel de Jalisco Nueva Generación', 'Los Zetas']","['Los Rojos', 'Los Zetas']"
Diablos Motorcycle Club,Rock Machine Motorcycle Club,United States,Canada,False,1,6,1,2,['Bandidos Motorcycle Club'],['Hells Angels Motorcycle Club']
Cartel del Norte del Valle,Oficina de Envigado,Colombia,Colombia,True,5,7,1,1,"['Autodefensas Unidas de Colombia', 'Los Pepes', 'Los Rastrojos', 'Los Zetas', 'Sinaloa Cartel']",['Cartel de Medellín']
Mara Salvatrucha,Texas Syndicate,United States,United States,True,2,6,1,2,"['Gulf Cartel', 'Los Zetas']",['Mexican Mafia']
Aryan Brotherhood,Mexikanemi,United States,United States,True,1,1,2,6,['Mexican Mafia'],"['Nuestra Familia', 'Texas Syndicate']"
Bloods,Four Corner Hustlers,United States,United States,True,4,6,1,1,"['Almighty Black P. Stone Nation', 'Almighty Vice Lord Nation', 'Latin Kings', 'People Nation']",['Black Gangster Disciples Nation']
La Mayiza,Los Zetas,,Mexico,,2,4,3,3,"['Grupo Flechas', 'Los Mazatlecos']","['Cártel de Jalisco Nueva Generación', 'Gente Nueva', 'Juárez Cartel']"
Cártel de Tepalcatepec,La Nueva Familia Michoacana,Mexico,Mexico,True,2,3,1,4,"['Cárteles Unidos', 'Los Viagras']",['Cártel de Jalisco Nueva Generación']
Alfieri clan,Clan Fabbrocino,Italy,Italy,True,3,4,1,3,"['Clan Cava', 'Clan Nuvoletta', 'Nuova Famiglia']",['Nuova Camorra Organizzata']
La Nueva Familia Michoacana,Nueva Plaza Cartel,Mexico,Mexico,True,1,1,1,6,['Sinaloa Cartel'],['Cártel de Jalisco Nueva Generación']
Lucchese crime family,Rizzuto crime family,United States,Canada,False,1,5,1,2,['Bonanno crime family'],['Bonanno crime family']
'Ndrina Giuliano,Clan De Luca Bossa,Italy,Italy,True,1,4,1,3,['Rinaldi clan'],['Clan Mazzarella']
'Ndrina Imerti,'Ndrina Piromalli,Italy,Italy,True,2,2,1,5,"[""'Ndrina Alvaro"", ""'Ndrina Serraino""]","[""'Ndrina De Stefano""]"
Musitano crime family,Wolfpack Alliance,Canada,Canada,True,4,6,1,1,"['Hells Angels Motorcycle Club', 'Independent Soldiers', 'Rizzuto crime family', 'West End Gang']",['Siderno Group']
Cártel de Tepalcatepec,La Familia Michoacana,Mexico,Mexico,True,2,3,1,4,"['Cárteles Unidos', 'Los Viagras']",['Cártel de Jalisco Nueva Generación']
Black Disciples,Crips,United States,United States,True,4,4,2,3,"['Black Gangster Disciples Nation', 'Black Guerrilla Family', 'La Raza Nation', 'Supreme Team']","['Almighty Black P. Stone Nation', 'Almighty Vice Lord Nation']"
Clan De Luca Bossa,Contini clan,Italy,Italy,True,2,4,1,3,"['Rinaldi clan', 'Secondigliano Alliance']",['Clan Mazzarella']
Mongols MC,Red Devils Motorcycle Club,United States,Sweden,False,1,1,2,6,['Hells Angels Motorcycle Club'],"['Bandidos Motorcycle Club', 'Outlaws Motorcycle Club']"
Beltrán-Leyva Organization,Logan Heights Gang,Mexico,United States,False,2,4,2,3,"['18th Street Gang', 'Tijuana Cartel']","['Mara Salvatrucha', 'Sinaloa Cartel']"
Knights Templar Cartel,Los Metros,Mexico,Mexico,True,1,3,1,4,['Cártel de Jalisco Nueva Generación'],['Los Zetas']
Bloods,Sinaloa Cartel,United States,Mexico,False,3,6,1,1,"['American Mafia', 'Crips', 'Latin Kings']",['18th Street Gang']
Hells Angels Motorcycle Club,Mara Salvatrucha,United States,United States,True,2,5,2,2,"['Mexican Mafia', 'Sinaloa Cartel']","['Mexican Mafia', 'Zoe Pound']"
Guadalajara Cartel,Milenio Cartel,Mexico,Mexico,True,3,4,1,3,"['Cartel de Medellín', 'Cártel de Colima', 'Sinaloa Cartel']",['Gulf Cartel']
Rock Machine Motorcycle Club,Satan's Choice Motorcycle Club,Canada,Canada,True,3,5,1,2,"[""Devil's Disciples Motorcycle Club (Canada)"", 'Outlaws Motorcycle Club', 'West End Gang']",['Hells Angels Motorcycle Club']
Los Caparrapos,Los Rastrojos,Colombia,Colombia,True,2,3,1,4,"['National Liberation Army (Colombia)', 'Oficina de Envigado']",['Clan del Golfo']
Barrio Azteca,Los Mazatlecos,United States,Mexico,False,2,2,2,5,"['Juárez Cartel', 'Los Zetas']","['Cártel de Jalisco Nueva Generación', 'Sinaloa Cartel']"
Gulf Cartel,Los Choneros,Mexico,Ecuador,False,2,6,1,1,"[""'Ndrangheta"", 'Sinaloa Cartel']",['Cártel de Jalisco Nueva Generación']
Cártel de Caborca,Los Mazatlecos,Mexico,Mexico,True,1,1,3,6,['Juárez Cartel'],"['Gulf Cartel', 'Los Chapitos', 'Sinaloa Cartel']"
'Ndrina Giuliano,Clan Gionta,Italy,Italy,True,2,6,1,1,"['Clan Nuvoletta', 'Nuova Famiglia']",['Nuova Camorra Organizzata']
Aprea-Cuccaro clan,Contini clan,Italy,Italy,True,2,4,1,3,"['Rinaldi clan', 'Secondigliano Alliance']",['Clan Mazzarella']
Rinaldi clan,Vollaro clan,Italy,Italy,True,1,2,1,5,"[""'Ndrina Giuliano""]",['Clan Mazzarella']
Beltrán-Leyva Organization,Cártel de Caborca,Mexico,Mexico,True,3,4,2,3,"['Cártel de Jalisco Nueva Generación', 'Juárez Cartel', 'Tijuana Cartel']","['Gulf Cartel', 'Sinaloa Cartel']"
Cárteles Unidos,Los Negros,Mexico,Mexico,True,1,2,4,5,['Sinaloa Cartel'],"['Beltrán-Leyva Organization', 'Cártel de Jalisco Nueva Generación', 'Gulf Cartel', 'Los Zetas']"
Barrio Azteca,Guerreros Unidos,United States,Mexico,False,3,3,2,4,"['Beltrán-Leyva Organization', 'Juárez Cartel', 'Los Zetas']","['Cártel de Jalisco Nueva Generación', 'Sinaloa Cartel']"
Philadelphia crime family,Westies,United States,United States,True,1,5,1,2,['Gambino crime family'],['Genovese crime family']
Cártel de Caborca,Guerreros Unidos,Mexico,Mexico,True,3,4,2,3,"['Cártel de Jalisco Nueva Generación', 'Juárez Cartel', 'Tijuana Cartel']","['Gulf Cartel', 'Sinaloa Cartel']"
'Ndrina Morabito,Commisso 'ndrina,Italy,Italy,True,5,6,1,1,"[""'Ndrina Cataldo"", ""'Ndrina Lo Presti"", ""'Ndrina Mandalari"", ""'Ndrina Mazzaferro"", ""Aquino 'ndrina""]","[""'Ndrina Piromalli""]"
Cártel de Santa Rosa de Lima,Mara Salvatrucha,Mexico,United States,False,2,4,1,3,"['Gulf Cartel', 'Sinaloa Cartel']",['Los Zetas']
'Ndrina De Stefano,'Ndrina Morabito,Italy,Italy,True,5,6,1,1,"[""'Ndrina Cataldo"", ""'Ndrina Codispoti"", ""'Ndrina Mancuso"", ""'Ndrina Mazzaferro"", 'Camorra']","[""'Ndrina Piromalli""]"
Gulf Cartel,Nueva Plaza Cartel,Mexico,Mexico,True,1,5,1,2,['Sinaloa Cartel'],['Cártel de Jalisco Nueva Generación']
Camorra,Nuova Famiglia,Italy,Italy,True,2,6,1,1,"['American Mafia', 'Sicilian Mafia']",['Nuova Camorra Organizzata']
Chicanos Motorcycle Club,Diablos Motorcycle Club,Germany,United States,False,1,5,2,2,['Bandidos Motorcycle Club'],"['Cossacks Motorcycle Club', 'Hells Angels Motorcycle Club']"
Cárteles Unidos,Mara Salvatrucha,Mexico,United States,False,2,3,2,4,"['La Familia Michoacana', 'Sinaloa Cartel']","['Beltrán-Leyva Organization', 'Los Zetas']"
Almighty Black P. Stone Nation,Norteños,United States,United States,True,4,5,2,2,"['Black Guerrilla Family', 'Bloods', 'Latin Kings', 'People Nation']","['18th Street Gang', 'Aryan Brotherhood']"
Almighty Insane Popes Nation,Maniac Latin Disciples,United States,United States,True,1,1,4,5,['Imperial Gangsters'],"['Almighty Black P. Stone Nation', 'Almighty Gaylords Nation', 'Latin Kings', 'Spanish Cobras']"
'Ndrina Giuliano,Clan Galasso di Poggiomarino,Italy,Italy,True,3,5,1,1,"['Clan Nuvoletta', 'Clan dei Casalesi', 'Nuova Famiglia']",['Nuova Camorra Organizzata']
18th Street Gang,Guerreros Unidos,United States,Mexico,False,4,4,2,2,"['Beltrán-Leyva Organization', 'Juárez Cartel', 'La Familia Michoacana', 'Tijuana Cartel']","['Gulf Cartel', 'Sinaloa Cartel']"
Cártel de Santa Rosa de Lima,Los Talibanes,Mexico,Mexico,True,2,3,1,3,"['Gulf Cartel', 'Sinaloa Cartel']",['Cártel de Jalisco Nueva Generación']
Cártel de Jalisco Nueva Generación,Los Chone Killers,Mexico,Ecuador,False,2,5,1,1,"['Los Lobos', 'Los Tiguerones']",['Los Choneros']
Alkhalil family,Independent Soldiers,Palestine,Canada,False,2,3,2,3,"['Sinaloa Cartel', 'Wolfpack Alliance']","['Dhak-Duhre group', 'Hells Angels Motorcycle Club']"
Los Choneros,Nueva Plaza Cartel,Ecuador,Mexico,False,1,5,1,1,['Sinaloa Cartel'],['Cártel de Jalisco Nueva Generación']
Florencia 13,Mara Salvatrucha,United States,United States,True,1,1,4,5,['Temple Street gang'],"['18th Street Gang', 'Bloods', 'Crips', 'Norteños']"
Gypsy Joker Motorcycle Club,Rock Machine Motorcycle Club,United States,Canada,False,1,2,2,4,['Outlaws Motorcycle Club'],"['Bandidos Motorcycle Club', 'Hells Angels Motorcycle Club']"
Alfieri clan,Clan Gallo-Cavalieri,Italy,Italy,True,1,2,1,4,['Nuova Famiglia'],['Clan Gionta']
La Nueva Familia Michoacana,Mara Salvatrucha,Mexico,United States,False,2,4,1,2,"['La Familia Michoacana', 'Sinaloa Cartel']",['Knights Templar Cartel']
Comanchero Motorcycle Club,Red Devils Motorcycle Club,Australia,Sweden,False,1,1,2,5,['Hells Angels Motorcycle Club'],"['Bandidos Motorcycle Club', 'Rock Machine Motorcycle Club']"
Aryan Brotherhood,Pagan's Motorcycle Club,United States,United States,True,4,4,1,2,"['American Mafia', 'Gambino crime family', 'Philadelphia crime family', 'The Covenant, the Sword, and the Arm of the Lord']",['Hells Angels Motorcycle Club']
Juárez Cartel,Los Choneros,Mexico,Ecuador,False,1,5,1,1,['Sinaloa Cartel'],['Cártel de Jalisco Nueva Generación']
Chicanos Motorcycle Club,Outlaws Motorcycle Club,Germany,United States,False,1,5,1,1,['Bandidos Motorcycle Club'],['Hells Angels Motorcycle Club']
Milwaukee crime family,New Orleans crime family,United States,United States,True,3,5,1,1,"['Chicago Outfit', 'Cleveland crime family', 'Kansas City crime family']",['Chicago Outfit']
La Línea,Los Metros,Mexico,Mexico,True,2,4,2,2,"['Cártel de Jalisco Nueva Generación', 'Los Zetas']","['Cártel del Noreste', 'Sinaloa Cartel']"
Contini clan,Vollaro clan,Italy,Italy,True,1,1,2,5,['Nuova Famiglia'],"['Clan Mazzarella', 'Nuova Camorra Organizzata']"
Cártel de Santa Rosa de Lima,Milenio Cartel,Mexico,Mexico,True,2,4,1,2,"['Cárteles Unidos', 'Sinaloa Cartel']",['Los Zetas']
Commisso 'ndrina,Luppino crime family,Italy,Canada,False,2,2,2,4,"['Buffalo crime family', 'Cotroni crime family']","['Independent Soldiers', 'Rizzuto crime family']"
Fallowfield Mandem,Longsight Street Soldiers,,,,1,4,2,2,['Gooch Close Gang'],"['Doddington gang', 'Longsight Crew']"
La Línea,Los Lobos,Mexico,Ecuador,False,2,5,1,1,"['Cártel de Jalisco Nueva Generación', 'Tren de Aragua']",['Sinaloa Cartel']
La Familia Michoacana,Los Choneros,Mexico,Ecuador,False,1,5,1,1,['Sinaloa Cartel'],['Cártel de Jalisco Nueva Generación']
Bufalino crime family,Lucchese crime family,United States,United States,True,3,5,1,1,"['Buffalo crime family', 'Genovese crime family', 'Philadelphia crime family']",['Genovese crime family']
Ejército Revolucionario Popular Antisubversivo de Colombia,Los Paisas,Colombia,Colombia,True,2,5,1,1,"['Clan del Golfo', 'Los Rastrojos']",['Clan del Golfo']
La Unión Tepito,Nueva Plaza Cartel,Mexico,Mexico,True,1,1,1,5,['Sinaloa Cartel'],['Cártel de Jalisco Nueva Generación']
Bonanno crime family,Papalia crime family,United States,Canada,False,1,5,1,1,['Buffalo crime family'],['Rizzuto crime family']
Beltrán-Leyva Organization,Latin Kings,Mexico,United States,False,2,4,1,2,"['18th Street Gang', 'Sinaloa Cartel']",['Mara Salvatrucha']
Latin Kings,Satan Disciples,United States,,,1,1,4,5,['Spanish Gangster Disciples'],"['Almighty Insane Popes Nation', 'Almighty Saints', 'Latin Counts', 'Taylor Street Jousters']"
Latin Kings,Mickey Cobras,United States,United States,True,3,3,2,3,"['Almighty Black P. Stone Nation', 'Almighty Vice Lord Nation', 'People Nation']","['Black Gangster Disciples Nation', 'Maniac Latin Disciples']"
Outlaws Motorcycle Club,Popeye Moto Club,United States,Canada,False,1,1,1,5,['Grim Reapers Motorcycle Club (Canada)'],"[""Satan's Choice Motorcycle Club""]"
Cártel de Santa Rosa de Lima,La Unión Tepito,Mexico,Mexico,True,1,1,1,5,['Sinaloa Cartel'],['Cártel de Jalisco Nueva Generación']
Aryan Brotherhood,Mara Salvatrucha,United States,United States,True,2,3,3,3,"['Mexican Mafia', 'Playboys (gang)']","['Crips', 'Mexican Mafia', 'Norteños']"
Cártel de Santa Rosa de Lima,Cártel de Tepalcatepec,Mexico,Mexico,True,2,2,1,4,"['Cárteles Unidos', 'Los Viagras']",['Cártel de Jalisco Nueva Generación']
Chicanos Motorcycle Club,Rock Machine Motorcycle Club,Germany,Canada,False,1,5,1,1,['Bandidos Motorcycle Club'],['Hells Angels Motorcycle Club']
Los Lobos,Mara Salvatrucha,Ecuador,United States,False,2,5,1,1,"['Cártel de Jalisco Nueva Generación', 'Tren de Aragua']",['Latin Kings']
Cárteles Unidos,La Unión Tepito,Mexico,Mexico,True,1,1,1,5,['Sinaloa Cartel'],['Cártel de Jalisco Nueva Generación']
Los Mazatlecos,Los Negros,Mexico,Mexico,True,2,2,3,4,"['Juárez Cartel', 'Los Zetas']","['Cártel de Jalisco Nueva Generación', 'Gulf Cartel', 'Sinaloa Cartel']"
Nuova Famiglia,Sacra Corona Unita,Italy,Italy,True,1,3,1,3,['American Mafia'],['Nuova Camorra Organizzata']
Knights Templar Cartel,Los Choneros,Mexico,Ecuador,False,1,5,1,1,['Sinaloa Cartel'],['Cártel de Jalisco Nueva Generación']
19th of April Movement,Cali Cartel,Colombia,Colombia,True,1,2,1,4,['Cartel de Medellín'],['Cartel de Medellín']
Mexican Mafia,Puro Tango Blast,United States,United States,True,1,1,3,5,['Gulf Cartel'],"['Barrio Azteca', 'Crips', 'Texas Syndicate']"
Juárez Cartel,Nueva Plaza Cartel,Mexico,Mexico,True,1,5,1,1,['Sinaloa Cartel'],['Cártel de Jalisco Nueva Generación']
Chicanos Motorcycle Club,X-Team,Germany,Denmark,False,1,5,1,1,['Bandidos Motorcycle Club'],['Black Cobra']
Los Ciclones,Mara Salvatrucha,Mexico,United States,False,1,1,3,5,['Cártel de Jalisco Nueva Generación'],"['Juárez Cartel', 'Los Zetas', 'Tijuana Cartel']"
Iron Horsemen Motorcycle Club,Mongols MC,United States,United States,True,1,1,2,5,['Hells Angels Motorcycle Club'],"['Bandidos Motorcycle Club', 'Outlaws Motorcycle Club']"
Martinez Familia Sangeros,Tijuana Cartel,Puerto Rico,Mexico,False,3,5,1,1,"['Cali Cartel', 'Guadalajara Cartel', 'Gulf Cartel']",['Gulf Cartel']
Mara Salvatrucha,United Blood Nation,United States,United States,True,1,1,3,5,['Sex Money Murder'],"['Crips', 'Latin Kings', 'Ñetas']"
'Ndrina Giuliano,Clan Fabbrocino,Italy,Italy,True,3,3,1,3,"['Clan Mazzarella', 'Clan Nuvoletta', 'Nuova Famiglia']",['Nuova Camorra Organizzata']
Alfieri clan,Sicilian Mafia,Italy,Italy,True,2,4,1,2,"['Corleonesi', 'Nuova Famiglia']",['Nuova Camorra Organizzata']
Bonde dos 40,Terceiro Comando,Brazil,Brazil,True,1,2,1,4,['Amigos dos Amigos'],['Comando Vermelho']
Red Devils Motorcycle Club,Rockers Motor Club,Sweden,Canada,False,1,3,2,3,['Hells Angels Motorcycle Club'],"['Bandidos Motorcycle Club', 'Rock Machine Motorcycle Club']"
Cártel de Caborca,Los Metros,Mexico,Mexico,True,1,3,3,3,['Cártel de Jalisco Nueva Generación'],"['Cártel del Noreste', 'Gulf Cartel', 'Sinaloa Cartel']"
'Ndrina Giuliano,Aprea-Cuccaro clan,Italy,Italy,True,1,3,1,3,['Rinaldi clan'],['Clan Mazzarella']
D.C. Blacks,Nuestra Familia,United States,United States,True,1,1,2,5,['Black Guerrilla Family'],"['Aryan Brotherhood', 'Nazi Lowriders']"
Grupo Flechas,Los Mazatlecos,Mexico,Mexico,True,2,3,1,3,"['La Mayiza', 'Los Zetas']",['Cártel de Jalisco Nueva Generación']
Oficina de Envigado,Popular Liberation Army,Colombia,Colombia,True,3,5,1,1,"['Ejército Revolucionario Popular Antisubversivo de Colombia', 'Los Rastrojos', 'Sinaloa Cartel']",['Clan del Golfo']
Crips,Maniac Latin Disciples,United States,United States,True,1,1,3,5,['Black Gangster Disciples Nation'],"['Almighty Black P. Stone Nation', 'Almighty Vice Lord Nation', 'Latin Kings']"
Nueva Plaza Cartel,Tijuana Cartel,Mexico,Mexico,True,1,3,1,3,['Sinaloa Cartel'],['Cártel de Jalisco Nueva Generación']
18th Street Gang,Nazi Lowriders,United States,United States,True,1,2,4,4,['Mexican Mafia'],"['Bloods', 'Crips', 'Mara Salvatrucha', 'Norteños']"
Cártel de Tepalcatepec,Knights Templar Cartel,Mexico,Mexico,True,1,2,1,4,['Los Viagras'],['Cártel de Jalisco Nueva Generación']
Latin Kings,Los Choneros,United States,Ecuador,False,1,3,2,3,['Sinaloa Cartel'],"['Los Chone Killers', 'Los Lobos']"
Cártel de Tepalcatepec,Sinaloa Cartel,Mexico,Mexico,True,2,2,1,4,"['Cárteles Unidos', 'Los Viagras']",['Cártel de Jalisco Nueva Generación']
Bonanno crime family,Musitano crime family,United States,Canada,False,2,5,1,1,"['Cuntrera-Caruana Mafia clan', 'Rizzuto crime family']",['Buffalo crime family']
Beltrán-Leyva Organization,Los Metros,Mexico,Mexico,True,2,2,3,4,"['Cártel de Jalisco Nueva Generación', 'Los Zetas']","['Gulf Cartel', 'Los Rojos', 'Sinaloa Cartel']"
Trinitarios,United Blood Nation,United States,United States,True,1,1,3,5,['Bloods'],"['Crips', ""Dominicans Don't Play"", 'Ñetas']"
Família do Norte,Primeiro Grupo Catarinense,Brazil,Brazil,True,1,3,1,3,['Comando Vermelho'],['Primeiro Comando da Capital']
Cali Cartel,Oficina de Envigado,Colombia,Colombia,True,3,5,1,1,"['Cartel de Medellín', 'Los Pepes', 'Sinaloa Cartel']",['Cartel de Medellín']
Knights Templar Cartel,Latin Kings,Mexico,United States,False,2,4,1,2,"['Gulf Cartel', 'Sinaloa Cartel']",['Mara Salvatrucha']
Crips,Simon City Royals,United States,United States,True,1,1,3,5,['Black Gangster Disciples Nation'],"['Almighty Vice Lord Nation', 'Latin Kings', 'People Nation']"
Nuova Camorra Organizzata,Stidda,Italy,Italy,True,2,2,2,4,"[""'Ndrangheta"", 'Nuova Mala del Brenta']","['American Mafia', 'Sicilian Mafia']"
Fallowfield Mandem,Old Trafford Cripz,,,,1,5,1,1,['Gooch Close Gang'],['Longsight Crew']
Buffalo crime family,East Harlem Purple Gang,United States,United States,True,3,5,1,1,"['Bonanno crime family', 'Genovese crime family', 'Lucchese crime family']",['Bonanno crime family']
American Mafia,Clan dei Casalesi,United States,Italy,False,2,4,1,2,"[""'Ndrangheta"", 'Nuova Famiglia']",['Nuova Camorra Organizzata']
Aryan Brotherhood,Outlaws Motorcycle Club,United States,United States,True,3,4,1,2,"['American Mafia', 'Aryan Nations', 'Chicago Outfit']",['Hells Angels Motorcycle Club']
Hezbollah,Kurdistan Workers' Party,Lebanon,Turkey,False,1,1,2,4,['Popular Front for the Liberation of Palestine'],"['Al-Nusra Front', 'Islamic State']"
18th Street Gang,Aryan Brotherhood,United States,United States,True,1,2,3,3,['Mexican Mafia'],"['Almighty Black P. Stone Nation', 'Crips', 'Norteños']"
'Ndrina Giuliano,Sicilian Mafia,Italy,Italy,True,1,3,1,2,['Nuova Famiglia'],['Nuova Camorra Organizzata']
Mara Salvatrucha,Vineland Boys,United States,United States,True,1,1,3,4,['Sinaloa Cartel'],"['18th Street Gang', 'Mexican Mafia', 'Toonerville Rifa 13']"
Mallardo clan,Rinaldi clan,Italy,Italy,True,2,4,1,1,"['Contini clan', 'Secondigliano Alliance']",['Clan Mazzarella']
Bandidos Motorcycle Club,Dirty Dozen Motorcycle Club,United States,United States,True,2,2,2,3,"['Hells Angels Motorcycle Club', 'Loners Motorcycle Club']","['Mongols MC', 'Vagos Motorcycle Club']"
Latin Kings,Oficina de Envigado,United States,Colombia,False,2,3,1,2,"['American Mafia', 'Sinaloa Cartel']",['Tren de Aragua']
Original Red Devils Motorcycle Club,Red Devils Motorcycle Club,Canada,Sweden,False,1,4,1,1,['Hells Angels Motorcycle Club'],['Outlaws Motorcycle Club']
Crips,Dead Man Incorporated,United States,United States,True,1,4,1,1,['Black Guerrilla Family'],['Aryan Brotherhood']
10th & Oregon Crew,Hells Angels Motorcycle Club,United States,United States,True,1,2,2,3,['American Mafia'],"[""Pagan's Motorcycle Club"", 'Philadelphia crime family']"
Rinaldi clan,Sibillo clan,Italy,,,1,3,1,2,"[""'Ndrina Giuliano""]",['Clan Mazzarella']
