a,b,country_a,country_b,same_country,n_items,score,items,opposing
Cleveland crime family,Patriarca crime family,United States,United States,True,8,20,"['Bufalino crime family', 'Chicago Outfit', 'DeCavalcante crime family', 'Detroit Partnership', 'Gambino crime family', 'Genovese crime family', 'Hells Angels Motorcycle Club', 'Los Angeles crime family']",[]
New Orleans crime family,Patriarca crime family,United States,United States,True,6,15,"['Chicago Outfit', 'Detroit Partnership', 'Gambino crime family', 'Genovese crime family', 'Los Angeles crime family', 'Philadelphia crime family']",['Chicago Outfit']
American Mafia,Banda della Magliana,United States,Italy,False,3,14,"[""'Ndrangheta"", 'Camorra', 'Sicilian Mafia']",[]
'Ndrina Pesce,Commisso 'ndrina,Italy,Italy,True,8,14,"[""'Ndrina Alvaro"", ""'Ndrina Cataldo"", ""'Ndrina Ierinò"", ""'Ndrina Mazzaferro"", ""'Ndrina Molè"", ""'Ndrina Piromalli"", ""Aquino 'ndrina"", 'Gulf Cartel']","[""'Ndrina Piromalli""]"
'Ndrina Bellocco,'Ndrina Mancuso,Italy,Italy,True,4,14,"[""'Ndrina Pesce"", ""'Ndrina Piromalli"", ""'Ndrina Varone"", 'Clan dei Casalesi']","[""'Ndrina Pesce""]"
Cleveland crime family,Outlaws Motorcycle Club,United States,United States,True,6,14,"['American Mafia', 'Chicago Outfit', 'Detroit Partnership', 'Genovese crime family', 'New Orleans crime family', 'Pittsburgh crime family']",['Pittsburgh crime family']
Gambino crime family,Rizzuto crime family,United States,Canada,False,4,13,"[""'Ndrangheta"", 'Bonanno crime family', 'Cuntrera-Caruana Mafia clan', 'Hells Angels Motorcycle Club']",['Bonanno crime family']
Cleveland crime family,Trafficante crime family,United States,United States,True,6,12,"['Chicago Outfit', 'Detroit Partnership', 'Gambino crime family', 'Genovese crime family', 'New Orleans crime family', 'Pittsburgh crime family']",['Pittsburgh crime family']
DeCavalcante crime family,Detroit Partnership,United States,United States,True,7,12,"['Bonanno crime family', 'Cleveland crime family', 'Colombo crime family', 'Gambino crime family', 'Genovese crime family', 'Patriarca crime family', 'Philadelphia crime family']",['Gambino crime family']
DeCavalcante crime family,New Orleans crime family,United States,United States,True,4,12,"['Cleveland crime family', 'Gambino crime family', 'Genovese crime family', 'Philadelphia crime family']",['Gambino crime family']
Detroit Partnership,Hells Angels Motorcycle Club,United States,United States,True,7,12,"['Bufalino crime family', 'Buffalo crime family', 'Cleveland crime family', 'Gambino crime family', 'Genovese crime family', 'Los Angeles crime family', 'Patriarca crime family']",[]
Clan dei Casamonica,Nuova Camorra Organizzata,Italy,Italy,True,3,12,"[""'Ndrangheta"", ""'Ndrina Piromalli"", 'Banda della Magliana']",[]
Bonanno crime family,Pittsburgh crime family,United States,United States,True,7,12,"['Chicago Outfit', 'Detroit Partnership', 'Genovese crime family', 'Philadelphia crime family', 'Rochester crime family', 'San Jose crime family', 'Trafficante crime family']",['Genovese crime family']
Los Angeles crime family,Outlaws Motorcycle Club,United States,United States,True,5,12,"['Buffalo crime family', 'Chicago Outfit', 'Detroit Partnership', 'Genovese crime family', 'New Orleans crime family']",['Buffalo crime family']
Sacra Corona Unita,Sicilian Mafia,Italy,Italy,True,4,11,"[""'Ndrangheta"", 'American Mafia', 'Camorra', 'Polverino clan']","[""'Ndrangheta""]"
Chicago Outfit,DeCavalcante crime family,United States,United States,True,7,11,"['Bonanno crime family', 'Cleveland crime family', 'Colombo crime family', 'Gambino crime family', 'Genovese crime family', 'Lucchese crime family', 'Patriarca crime family']",['Gambino crime family']
Hells Angels Motorcycle Club,New Orleans crime family,United States,United States,True,5,11,"['Buffalo crime family', 'Cleveland crime family', 'Gambino crime family', 'Genovese crime family', 'Los Angeles crime family']",[]
Los Angeles crime family,Pittsburgh crime family,United States,United States,True,7,11,"['Bufalino crime family', 'Chicago Outfit', 'Cleveland crime family', 'Detroit Partnership', 'Genovese crime family', 'Kansas City crime family', 'San Jose crime family']",['Cleveland crime family']
'Ndrina Alvaro,'Ndrina Bellocco,Italy,Italy,True,4,11,"[""'Ndrina Molè"", ""'Ndrina Pesce"", ""'Ndrina Piromalli"", ""Aquino 'ndrina""]","[""'Ndrina Pesce""]"
Buffalo crime family,DeCavalcante crime family,United States,United States,True,4,11,"['Bonanno crime family', 'Colombo crime family', 'Genovese crime family', 'Lucchese crime family']",['Bonanno crime family']
'Ndrangheta,Oficina de Envigado,Italy,Colombia,False,5,10,"['American Mafia', 'Autodefensas Unidas de Colombia', 'Clan del Golfo', 'Los Zetas', 'Sinaloa Cartel']",['Clan del Golfo']
DeCavalcante crime family,Hells Angels Motorcycle Club,United States,United States,True,4,10,"['Cleveland crime family', 'Gambino crime family', 'Genovese crime family', 'Patriarca crime family']",['Gambino crime family']
DeCavalcante crime family,Los Angeles crime family,United States,United States,True,5,10,"['Cleveland crime family', 'Colombo crime family', 'Gambino crime family', 'Genovese crime family', 'Patriarca crime family']",['Gambino crime family']
Bufalino crime family,DeCavalcante crime family,United States,United States,True,5,10,"['Cleveland crime family', 'Colombo crime family', 'Genovese crime family', 'Patriarca crime family', 'Philadelphia crime family']",['Genovese crime family']
Bufalino crime family,New Orleans crime family,United States,United States,True,6,10,"['Buffalo crime family', 'Cleveland crime family', 'Detroit Partnership', 'Genovese crime family', 'Los Angeles crime family', 'Philadelphia crime family']",['Genovese crime family']
Detroit Partnership,Kansas City crime family,United States,United States,True,6,10,"['Chicago Outfit', 'Cleveland crime family', 'Los Angeles crime family', 'New Orleans crime family', 'Pittsburgh crime family', 'St. Louis crime family']",[]
'Ndrina Molè,Aquino 'ndrina,Italy,Italy,True,5,10,"[""'Ndrina Alvaro"", ""'Ndrina Bellocco"", ""'Ndrina Pesce"", ""'Ndrina Piromalli"", ""Commisso 'ndrina""]",[]
Lashkar-e-Taiba,Tehreek-e-Taliban Pakistan,Pakistan,Pakistan,True,4,10,"['Al-Qaeda', 'Harkat-ul-Jihad al-Islami', 'Islamic State – Khorasan Province', 'Taliban']",['Taliban']
'Ndrangheta,Mara Salvatrucha,Italy,United States,False,6,9,"['Big Circle Gang', 'Cártel de Jalisco Nueva Generación', 'Gulf Cartel', 'Los Zetas', 'Sinaloa Cartel', 'Tren de Aragua']",['Los Zetas']
Beltrán-Leyva Organization,Clan del Golfo,Mexico,Colombia,False,3,9,"['Cártel de Jalisco Nueva Generación', 'Los Zetas', 'Sinaloa Cartel']",['Sinaloa Cartel']
Clan dei Casamonica,Sicilian Mafia,Italy,Italy,True,3,9,"[""'Ndrangheta"", 'Banda della Magliana', 'Camorra']","[""'Ndrangheta""]"
Clan dei Casamonica,Società foggiana,Italy,Italy,True,3,9,"[""'Ndrangheta"", 'Banda della Magliana', 'Camorra']",['Camorra']
Alfieri clan,Mallardo clan,Italy,Italy,True,3,9,"['Cesarano clan', 'Clan Cappello', 'Clan dei Casalesi']",['Clan dei Casalesi']
DeCavalcante crime family,Trafficante crime family,United States,United States,True,4,9,"['Bonanno crime family', 'Gambino crime family', 'Genovese crime family', 'Lucchese crime family']",['Gambino crime family']
Patriarca crime family,Trafficante crime family,United States,United States,True,5,9,"['Bonanno crime family', 'Chicago Outfit', 'Detroit Partnership', 'Gambino crime family', 'Genovese crime family']",[]
'Ndrina Alvaro,'Ndrina Mancuso,Italy,Italy,True,4,9,"[""'Ndrina De Stefano"", ""'Ndrina Pesce"", ""'Ndrina Piromalli"", 'Revolutionary Armed Forces of Colombia']",[]
Patriarca crime family,Pittsburgh crime family,United States,United States,True,5,9,"['Bufalino crime family', 'Chicago Outfit', 'Detroit Partnership', 'Genovese crime family', 'Philadelphia crime family']",[]
American Mafia,Cali Cartel,United States,Colombia,False,5,8,"['Big Circle Gang', 'Camorra', 'Martinez Familia Sangeros', 'Sinaloa Cartel', 'West End Gang']",[]
Autodefensas Unidas de Colombia,Los Zetas,Colombia,Mexico,False,5,8,"[""'Ndrangheta"", 'Cartel del Norte del Valle', 'Los Rastrojos', 'Oficina de Envigado', 'Sinaloa Cartel']",['Sinaloa Cartel']
Cali Cartel,La Familia Michoacana,Colombia,Mexico,False,4,8,"['Gulf Cartel', 'Juárez Cartel', 'Sinaloa Cartel', 'Tijuana Cartel']",['Gulf Cartel']
Hells Angels Motorcycle Club,Latin Kings,United States,United States,True,5,8,"['American Mafia', 'Diablos Motorcycle Club', 'Gambino crime family', 'Genovese crime family', 'Sinaloa Cartel']",['Diablos Motorcycle Club']
La Línea,Mara Salvatrucha,Mexico,United States,False,4,8,"['Cártel de Jalisco Nueva Generación', 'Gulf Cartel', 'Los Zetas', 'Tren de Aragua']",['Los Zetas']
'Ndrina Morabito,'Ndrina Pesce,Italy,Italy,True,6,8,"[""'Ndrina Cataldo"", ""'Ndrina Mancuso"", ""'Ndrina Mazzaferro"", ""Aquino 'ndrina"", 'Basilischi', 'Clan dei Casalesi']",[]
Gambino crime family,Sinaloa Cartel,United States,Mexico,False,5,8,"[""'Ndrangheta"", 'Crips', 'Hells Angels Motorcycle Club', 'Latin Kings', 'Mexican Mafia']",[]
Genovese crime family,San Jose crime family,United States,United States,True,6,8,"['Bonanno crime family', 'Chicago Outfit', 'Dallas crime family', 'Hells Angels Motorcycle Club', 'Los Angeles crime family', 'Pittsburgh crime family']",['Bonanno crime family']
Rizzuto crime family,Sinaloa Cartel,Canada,Mexico,False,5,8,"[""'Ndrangheta"", 'Hells Angels Motorcycle Club', 'Independent Soldiers', 'West End Gang', 'Wolfpack Alliance']",['Wolfpack Alliance']
Clan Di Lauro,Commisso 'ndrina,Italy,Italy,True,4,8,"['Clan Licciardi', 'Contini clan', 'Mallardo clan', 'Secondigliano Alliance']",[]
Mallardo clan,Nuova Famiglia,Italy,Italy,True,3,8,"['Cesarano clan', 'Clan dei Casalesi', 'Contini clan']",['Clan dei Casalesi']
Armenian Power,Sinaloa Cartel,United States,Mexico,False,4,8,"['American Mafia', 'Los Cachiros', 'Mexican Mafia', 'Vineland Boys']",[]
Los Angeles crime family,St. Louis crime family,United States,United States,True,5,8,"['Chicago Outfit', 'Cleveland crime family', 'Colorado crime family', 'Detroit Partnership', 'Kansas City crime family']",[]
'Ndrina Cataldo,Aquino 'ndrina,Italy,Italy,True,6,8,"[""'Ndrina Cordì"", ""'Ndrina Ierinò"", ""'Ndrina Lo Presti"", ""'Ndrina Morabito"", ""'Ndrina Pesce"", ""Commisso 'ndrina""]","[""'Ndrina Cordì""]"
'Ndrina Mancuso,Aquino 'ndrina,Italy,Italy,True,4,8,"[""'Ndrina Morabito"", ""'Ndrina Pesce"", ""'Ndrina Piromalli"", 'Revolutionary Armed Forces of Colombia']",[]
Bufalino crime family,Outlaws Motorcycle Club,United States,United States,True,4,8,"['Buffalo crime family', 'Detroit Partnership', 'Genovese crime family', 'Pittsburgh crime family']",['Genovese crime family']
Lucchese crime family,Pittsburgh crime family,United States,United States,True,4,8,"['Chicago Outfit', 'Genovese crime family', 'Philadelphia crime family', 'Trafficante crime family']",['Genovese crime family']
Outlaws Motorcycle Club,Trafficante crime family,United States,United States,True,5,8,"['Chicago Outfit', 'Detroit Partnership', 'Genovese crime family', 'New Orleans crime family', 'Pittsburgh crime family']",[]
Patriarca crime family,San Francisco crime family,United States,United States,True,4,8,"['Bonanno crime family', 'Chicago Outfit', 'Detroit Partnership', 'Los Angeles crime family']",[]
Clan Di Lauro,Rinaldi clan,Italy,Italy,True,3,8,"[""'Ndrina Giuliano"", 'Contini clan', 'Secondigliano Alliance']",[]
'Ndrangheta,Cali Cartel,Italy,Colombia,False,5,7,"['Big Circle Gang', 'Camorra', 'Cuntrera-Caruana Mafia clan', 'Gulf Cartel', 'Sinaloa Cartel']",[]
'Ndrangheta,Latin Kings,Italy,United States,False,4,7,"['American Mafia', 'Gambino crime family', 'Gulf Cartel', 'Sinaloa Cartel']",[]
'Ndrangheta,West End Gang,Italy,Canada,False,5,7,"['American Mafia', 'Hells Angels Motorcycle Club', 'Rizzuto crime family', ""Satan's Choice Motorcycle Club"", 'Sinaloa Cartel']",[]
American Mafia,Los Zetas,United States,Mexico,False,4,7,"[""'Ndrangheta"", 'Oficina de Envigado', 'Sicilian Mafia', 'Sinaloa Cartel']",['Sinaloa Cartel']
Beltrán-Leyva Organization,Mexican Mafia,Mexico,United States,False,3,7,"['18th Street Gang', 'Sinaloa Cartel', 'Tijuana Cartel']",['Sinaloa Cartel']
Cartel del Norte del Valle,Oficina de Envigado,Colombia,Colombia,True,5,7,"['Autodefensas Unidas de Colombia', 'Los Pepes', 'Los Rastrojos', 'Los Zetas', 'Sinaloa Cartel']",[]
Clan del Golfo,Hells Angels Motorcycle Club,Colombia,United States,False,4,7,"[""'Ndrangheta"", 'Brothers Keepers', 'Kinahan Organised Crime Group', 'Sinaloa Cartel']",[]
Latin Kings,Mexican Mafia,United States,United States,True,5,7,"['18th Street Gang', 'American Mafia', 'Gambino crime family', 'Gulf Cartel', 'Sinaloa Cartel']",[]
American Mafia,Rizzuto crime family,United States,Canada,False,4,7,"[""'Ndrangheta"", 'Big Circle Gang', 'Hells Angels Motorcycle Club', 'West End Gang']",[]
'Ndrangheta,La Línea,Italy,Mexico,False,4,7,"['Cártel de Jalisco Nueva Generación', 'Gulf Cartel', 'Los Zetas', 'Tren de Aragua']",[]
Clan del Golfo,La Línea,Colombia,Mexico,False,3,7,"['Cártel de Jalisco Nueva Generación', 'Los Zetas', 'Tren de Aragua']",['Tren de Aragua']
Guerreros Unidos,La Línea,Mexico,Mexico,True,3,7,"['Beltrán-Leyva Organization', 'Cártel de Jalisco Nueva Generación', 'Los Zetas']",['Cártel de Jalisco Nueva Generación']
Aryan Brotherhood,Patriarca crime family,United States,United States,True,4,7,"['Chicago Outfit', 'Gambino crime family', 'Hells Angels Motorcycle Club', 'Philadelphia crime family']",['Hells Angels Motorcycle Club']
Brothers Keepers,Sinaloa Cartel,Canada,Mexico,False,4,7,"['Clan del Golfo', 'Hells Angels Motorcycle Club', 'Independent Soldiers', 'Wolfpack Alliance']",['Wolfpack Alliance']
Cleveland crime family,Mexican Mafia,United States,United States,True,4,7,"['American Mafia', 'Gambino crime family', 'Hells Angels Motorcycle Club', 'Los Angeles crime family']",['Hells Angels Motorcycle Club']
Gambino crime family,San Jose crime family,United States,United States,True,4,7,"['Bonanno crime family', 'Chicago Outfit', 'Hells Angels Motorcycle Club', 'Los Angeles crime family']",['Bonanno crime family']
Patriarca crime family,San Jose crime family,United States,United States,True,4,7,"['Bonanno crime family', 'Chicago Outfit', 'Hells Angels Motorcycle Club', 'Los Angeles crime family']",[]
Camorra,Primeiro Comando da Capital,Italy,Brazil,False,3,7,"[""'Ndrangheta"", 'Cártel de Jalisco Nueva Generación', 'Tren de Aragua']",[]
Primeiro Comando da Capital,Sinaloa Cartel,Brazil,Mexico,False,6,7,"[""'Ndrangheta"", 'Cártel de Jalisco Nueva Generación', 'Hezbollah', 'Los Choneros', 'Revolutionary Armed Forces of Colombia', 'Yakuza']",['Cártel de Jalisco Nueva Generación']
Martinez Familia Sangeros,Sinaloa Cartel,Puerto Rico,Mexico,False,5,7,"['American Mafia', 'Cali Cartel', 'Guadalajara Cartel', 'Gulf Cartel', 'Latin Kings']",['Gulf Cartel']
Ejército Revolucionario Popular Antisubversivo de Colombia,Sinaloa Cartel,Colombia,Mexico,False,4,7,"['Clan del Golfo', 'Los Rastrojos', 'Oficina de Envigado', 'Popular Liberation Army']",['Clan del Golfo']
Detroit Partnership,Pagan's Motorcycle Club,United States,United States,True,5,7,"['Gambino crime family', 'Genovese crime family', 'Outlaws Motorcycle Club', 'Philadelphia crime family', 'Pittsburgh crime family']",['Outlaws Motorcycle Club']
Los Angeles crime family,Trafficante crime family,United States,United States,True,5,7,"['Chicago Outfit', 'Detroit Partnership', 'Gambino crime family', 'Genovese crime family', 'New Orleans crime family']",[]
American Mafia,Primeiro Comando da Capital,United States,Brazil,False,3,7,"[""'Ndrangheta"", 'Tren de Aragua', 'Yakuza']",[]
American Mafia,Rock Machine Motorcycle Club,United States,Canada,False,4,7,"['Loners Motorcycle Club', 'Outlaws Motorcycle Club', ""Pagan's Motorcycle Club"", 'West End Gang']",[]
Black Guerrilla Family,Latin Kings,United States,United States,True,4,7,"['Almighty Black P. Stone Nation', 'Bloods', 'Norteños', 'Nuestra Familia']",[]
Guadalajara Cartel,Los Pepes,Mexico,Colombia,False,4,7,"['Cali Cartel', 'Cartel de Medellín', 'Cartel del Norte del Valle', 'Martinez Familia Sangeros']",['Cartel de Medellín']
DeCavalcante crime family,Pittsburgh crime family,United States,United States,True,3,7,"['Cleveland crime family', 'Genovese crime family', 'Philadelphia crime family']",['Cleveland crime family']
Gambino crime family,Kansas City crime family,United States,United States,True,4,7,"['Chicago Outfit', 'Cleveland crime family', 'Los Angeles crime family', 'New Orleans crime family']",[]
Genovese crime family,Kansas City crime family,United States,United States,True,6,7,"['Chicago Outfit', 'Cleveland crime family', 'Dallas crime family', 'Los Angeles crime family', 'New Orleans crime family', 'Pittsburgh crime family']",[]
Hells Angels Motorcycle Club,Pittsburgh crime family,United States,United States,True,4,7,"['Bufalino crime family', 'Cleveland crime family', 'Genovese crime family', 'San Jose crime family']",['Cleveland crime family']
'Ndrina Piromalli,Revolutionary Armed Forces of Colombia,Italy,Colombia,False,4,7,"[""'Ndrina Alvaro"", ""'Ndrina Mancuso"", ""'Ndrina Pesce"", ""Aquino 'ndrina""]",[]
Juárez Cartel,Los Pepes,Mexico,Colombia,False,3,7,"['Cali Cartel', 'Cartel de Medellín', 'Cartel del Norte del Valle']",['Cartel de Medellín']
'Ndrina Ierinò,'Ndrina Piromalli,Italy,Italy,True,4,7,"[""'Ndrina Costa"", ""'Ndrina Pesce"", ""Aquino 'ndrina"", ""Commisso 'ndrina""]","[""Commisso 'ndrina""]"
'Ndrina Piromalli,'Ndrina Ursino,Italy,Italy,True,4,7,"[""'Ndrina Belfiore"", ""'Ndrina Costa"", ""Aquino 'ndrina"", ""Commisso 'ndrina""]","[""Commisso 'ndrina""]"
Bonanno crime family,Dallas crime family,United States,United States,True,5,7,"['Chicago Outfit', 'Genovese crime family', 'San Francisco crime family', 'San Jose crime family', 'Trafficante crime family']",['Genovese crime family']
Dallas crime family,Gambino crime family,United States,United States,True,4,7,"['Chicago Outfit', 'Genovese crime family', 'New Orleans crime family', 'Trafficante crime family']",['Genovese crime family']
Dallas crime family,Los Angeles crime family,United States,United States,True,6,7,"['Chicago Outfit', 'Genovese crime family', 'Kansas City crime family', 'New Orleans crime family', 'San Francisco crime family', 'San Jose crime family']",[]
Dallas crime family,Pittsburgh crime family,United States,United States,True,5,7,"['Chicago Outfit', 'Genovese crime family', 'Kansas City crime family', 'San Jose crime family', 'Trafficante crime family']",[]
Cleveland crime family,Colorado crime family,United States,United States,True,5,7,"['Chicago Outfit', 'Kansas City crime family', 'Los Angeles crime family', 'New Orleans crime family', 'St. Louis crime family']",[]
Colorado crime family,Detroit Partnership,United States,United States,True,5,7,"['Bonanno crime family', 'Chicago Outfit', 'Los Angeles crime family', 'New Orleans crime family', 'St. Louis crime family']",[]
Detroit Partnership,San Jose crime family,United States,United States,True,5,7,"['Bonanno crime family', 'Chicago Outfit', 'Los Angeles crime family', 'Pittsburgh crime family', 'San Francisco crime family']",[]
Gambino crime family,San Francisco crime family,United States,United States,True,4,7,"['Bonanno crime family', 'Chicago Outfit', 'Detroit Partnership', 'Los Angeles crime family']",['Bonanno crime family']
Genovese crime family,San Francisco crime family,United States,United States,True,5,7,"['Bonanno crime family', 'Chicago Outfit', 'Dallas crime family', 'Detroit Partnership', 'Los Angeles crime family']",['Bonanno crime family']
'Ndrina Pesce,Clan dei Casamonica,Italy,Italy,True,3,7,"[""'Ndrina Alvaro"", ""'Ndrina Molè"", ""'Ndrina Piromalli""]",[]
'Ndrangheta,Beltrán-Leyva Organization,Italy,Mexico,False,3,6,"['Cártel de Jalisco Nueva Generación', 'Los Zetas', 'Sinaloa Cartel']",['Sinaloa Cartel']
'Ndrangheta,Cartel del Norte del Valle,Italy,Colombia,False,4,6,"['Autodefensas Unidas de Colombia', 'Cártel de Jalisco Nueva Generación', 'Los Zetas', 'Sinaloa Cartel']",[]
American Mafia,Cártel de Jalisco Nueva Generación,United States,Mexico,False,5,6,"[""'Ndrangheta"", 'Camorra', 'Sinaloa Cartel', 'Tren de Aragua', 'Yakuza']",['Sinaloa Cartel']
American Mafia,Wolfpack Alliance,United States,Canada,False,3,6,"['Hells Angels Motorcycle Club', 'Sinaloa Cartel', 'West End Gang']",['Sinaloa Cartel']
Beltrán-Leyva Organization,Guadalajara Cartel,Mexico,Mexico,True,4,6,"['Cartel del Norte del Valle', 'Juárez Cartel', 'Sinaloa Cartel', 'Tijuana Cartel']",['Sinaloa Cartel']
Cali Cartel,Hells Angels Motorcycle Club,Colombia,United States,False,3,6,"['Cartel de Medellín', 'Sinaloa Cartel', 'West End Gang']",['Cartel de Medellín']
Cali Cartel,Mara Salvatrucha,Colombia,United States,False,3,6,"['Big Circle Gang', 'Gulf Cartel', 'Sinaloa Cartel']",[]
Cartel de Medellín,Mexican Mafia,Colombia,United States,False,3,6,"['Gulf Cartel', 'Hells Angels Motorcycle Club', 'Sinaloa Cartel']",['Hells Angels Motorcycle Club']
Cartel del Norte del Valle,Clan del Golfo,Colombia,Colombia,True,5,6,"['Cártel de Jalisco Nueva Generación', 'Los Cachiros', 'Los Rastrojos', 'Los Zetas', 'Sinaloa Cartel']",['Los Rastrojos']
Cartel del Norte del Valle,Revolutionary Armed Forces of Colombia,Colombia,Colombia,True,5,6,"['Cártel de Jalisco Nueva Generación', 'Hezbollah', 'Los Rastrojos', 'Sinaloa Cartel', 'Tijuana Cartel']",['Los Rastrojos']
Juárez Cartel,Sonora Cartel,Mexico,Mexico,True,4,6,"['Cali Cartel', 'Cartel de Medellín', 'Guadalajara Cartel', 'Sinaloa Cartel']",['Sinaloa Cartel']
Knights Templar Cartel,Los Talibanes,Mexico,Mexico,True,3,6,"['Cártel de Jalisco Nueva Generación', 'Gulf Cartel', 'Sinaloa Cartel']",['Cártel de Jalisco Nueva Generación']
Los Cachiros,Oficina de Envigado,Honduras,Colombia,False,3,6,"['Clan del Golfo', 'Los Rastrojos', 'Sinaloa Cartel']",['Clan del Golfo']
Los Talibanes,Mara Salvatrucha,Mexico,United States,False,3,6,"['Cártel de Jalisco Nueva Generación', 'Gulf Cartel', 'Sinaloa Cartel']",['Cártel de Jalisco Nueva Generación']
American Mafia,Polverino clan,United States,Italy,False,3,6,"[""'Ndrangheta"", 'Sacra Corona Unita', 'Sicilian Mafia']",[]
Cali Cartel,Rizzuto crime family,Colombia,Canada,False,4,6,"['Big Circle Gang', 'Cuntrera-Caruana Mafia clan', 'Hells Angels MC Montreal chapter', 'West End Gang']",[]
'Ndrina De Stefano,'Ndrina Morabito,Italy,Italy,True,5,6,"[""'Ndrina Cataldo"", ""'Ndrina Codispoti"", ""'Ndrina Mancuso"", ""'Ndrina Mazzaferro"", 'Camorra']",[]
Gulf Cartel,Tren de Aragua,Mexico,Venezuela,False,5,6,"[""'Ndrangheta"", 'Camorra', 'Cártel de Jalisco Nueva Generación', 'La Línea', 'Mara Salvatrucha']",['Cártel de Jalisco Nueva Generación']
Aryan Brotherhood,Cleveland crime family,United States,United States,True,4,6,"['American Mafia', 'Chicago Outfit', 'Gambino crime family', 'Hells Angels Motorcycle Club']",['Hells Angels Motorcycle Club']
Cleveland crime family,San Jose crime family,United States,United States,True,4,6,"['Chicago Outfit', 'Hells Angels Motorcycle Club', 'Los Angeles crime family', 'Pittsburgh crime family']",['Pittsburgh crime family']
Loners Motorcycle Club,West End Gang,Canada,Canada,True,3,6,"['American Mafia', 'Hells Angels Motorcycle Club', 'Rock Machine Motorcycle Club']",['Hells Angels Motorcycle Club']
Mexican Mafia,Patriarca crime family,United States,United States,True,3,6,"['Gambino crime family', 'Hells Angels Motorcycle Club', 'Los Angeles crime family']",['Hells Angels Motorcycle Club']
Musitano crime family,Wolfpack Alliance,Canada,Canada,True,4,6,"['Hells Angels Motorcycle Club', 'Independent Soldiers', 'Rizzuto crime family', 'West End Gang']",['Independent Soldiers']
Camorra,Clan del Golfo,Italy,Colombia,False,5,6,"[""'Ndrangheta"", 'Cártel de Jalisco Nueva Generación', 'Kinahan Organised Crime Group', 'Sicilian Mafia', 'Tren de Aragua']",['Tren de Aragua']
Clan del Golfo,Primeiro Comando da Capital,Colombia,Brazil,False,4,6,"[""'Ndrangheta"", 'Cártel de Jalisco Nueva Generación', 'Los Choneros', 'Tren de Aragua']",['Tren de Aragua']
Camorra,Los Zetas,Italy,Mexico,False,3,6,"[""'Ndrangheta"", 'Gulf Cartel', 'Sicilian Mafia']",['Gulf Cartel']
Outlaws Motorcycle Club,West End Gang,United States,Canada,False,3,6,"['American Mafia', 'Rock Machine Motorcycle Club', ""Satan's Choice Motorcycle Club""]","[""Satan's Choice Motorcycle Club""]"
Cuntrera-Caruana Mafia clan,Hells Angels Motorcycle Club,Italy,United States,False,4,6,"[""'Ndrangheta"", 'Gambino crime family', 'Musitano crime family', 'Rizzuto crime family']",[]
Cuntrera-Caruana Mafia clan,West End Gang,Italy,Canada,False,3,6,"['Cali Cartel', 'Musitano crime family', 'Rizzuto crime family']",[]
Aryan Brotherhood,Bonanno crime family,United States,United States,True,3,6,"['Chicago Outfit', 'Gambino crime family', 'Philadelphia crime family']",['Gambino crime family']
Aryan Brotherhood,Lucchese crime family,United States,United States,True,3,6,"['Chicago Outfit', 'Gambino crime family', 'Philadelphia crime family']",['Gambino crime family']
Chicago Outfit,Sicilian Mafia,United States,Italy,False,4,6,"['Bonanno crime family', 'Buffalo crime family', 'Detroit Partnership', 'Gambino crime family']",['Buffalo crime family']
Hells Angels Motorcycle Club,Sicilian Mafia,United States,Italy,False,4,6,"[""'Ndrangheta"", 'American Mafia', 'Buffalo crime family', 'Gambino crime family']","[""'Ndrangheta""]"
Patriarca crime family,Sicilian Mafia,United States,Italy,False,3,6,"['Bonanno crime family', 'Detroit Partnership', 'Gambino crime family']",[]
Philadelphia crime family,Sicilian Mafia,United States,Italy,False,3,6,"['Bonanno crime family', 'Detroit Partnership', 'Gambino crime family']",['Gambino crime family']
Bloods,Sinaloa Cartel,United States,Mexico,False,3,6,"['American Mafia', 'Crips', 'Latin Kings']",['Crips']
Bonde do Maluco,Bonde dos 40,Brazil,Brazil,True,4,6,"['Guardiões do Estado', 'Primeiro Comando da Capital', 'Sindicato do Crime do Rio Grande do Norte', 'Terceiro Comando Puro']",['Primeiro Comando da Capital']
Clan Licciardi,Sacra Corona Unita,Italy,Italy,True,3,6,"[""'Ndrangheta"", 'Clan Di Lauro', 'Polverino clan']",[]
Bloods,Four Corner Hustlers,United States,United States,True,4,6,"['Almighty Black P. Stone Nation', 'Almighty Vice Lord Nation', 'Latin Kings', 'People Nation']",[]
Detroit Partnership,Milwaukee crime family,United States,United States,True,4,6,"['Bonanno crime family', 'Chicago Outfit', 'Cleveland crime family', 'St. Louis crime family']",['Chicago Outfit']
Los Angeles crime family,Milwaukee crime family,United States,United States,True,3,6,"['Chicago Outfit', 'Cleveland crime family', 'Kansas City crime family']",['Chicago Outfit']
New Orleans crime family,St. Louis crime family,United States,United States,True,5,6,"['Chicago Outfit', 'Cleveland crime family', 'Colorado crime family', 'Detroit Partnership', 'Kansas City crime family']",['Chicago Outfit']
'Ndrina Cataldo,'Ndrina Mancuso,Italy,Italy,True,5,6,"[""'Ndrina Barbaro"", ""'Ndrina De Stefano"", ""'Ndrina Mazzaferro"", ""'Ndrina Morabito"", ""'Ndrina Pesce""]",[]
'Ndrina Piromalli,Gulf Cartel,Italy,Mexico,False,3,6,"[""'Ndrina Pesce"", ""Aquino 'ndrina"", ""Commisso 'ndrina""]","[""Commisso 'ndrina""]"
